family_key,root_national_no,root_name,tohoku_location_key,kanto_location_key,coverage_status
FAMILY_KEY_0360,702,デデンネ,T029,K33,DUAL_REGION
FAMILY_KEY_0361,703,メレシー,T024,K27,DUAL_REGION
FAMILY_KEY_0362,704,ヌメラ,T042,K43,DUAL_REGION
FAMILY_KEY_0363,707,クレッフィ,T034,K41,DUAL_REGION
FAMILY_KEY_0364,708,ボクレー,T025,K26,DUAL_REGION
FAMILY_KEY_0365,710,バケッチャ,T025,K02,DUAL_REGION
FAMILY_KEY_0366,712,カチコール,T030,K38,DUAL_REGION
FAMILY_KEY_0367,714,オンバット,T505,K11,DUAL_REGION
FAMILY_KEY_0368,716,ゼルネアス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0369,717,イベルタル,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0370,718,ジガルデ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0371,719,ディアンシー,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0372,720,フーパ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0373,721,ボルケニオン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0374,722,モクロー,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0375,725,ニャビー,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0376,728,アシマリ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0377,731,ツツケラ,T501,K25,DUAL_REGION
FAMILY_KEY_0378,734,ヤングース,T504,K18,DUAL_REGION
FAMILY_KEY_0379,736,アゴジムシ,T036,K35,DUAL_REGION
FAMILY_KEY_0380,739,マケンカニ,T031,K20,DUAL_REGION
FAMILY_KEY_0381,741,オドリドリ,T521,K21,DUAL_REGION
FAMILY_KEY_0382,742,アブリー,T026,K35,DUAL_REGION
FAMILY_KEY_0383,744,イワンコ,T028,K30,DUAL_REGION
FAMILY_KEY_0384,746,ヨワシ,T507,K36,DUAL_REGION
FAMILY_KEY_0385,747,ヒドイデ,T038,K06,DUAL_REGION
FAMILY_KEY_0386,749,ドロバンコ,T028,K37,DUAL_REGION
FAMILY_KEY_0387,751,シズクモ,T508,K12,DUAL_REGION
FAMILY_KEY_0388,753,カリキリ,T026,K35,DUAL_REGION
FAMILY_KEY_0389,755,ネマシュ,T026,K35,DUAL_REGION
FAMILY_KEY_0390,757,ヤトウモリ,T028,K39,DUAL_REGION
FAMILY_KEY_0391,759,ヌイコグマ,T518,K04,DUAL_REGION
FAMILY_KEY_0392,761,アマカジ,T517,K24,DUAL_REGION
FAMILY_KEY_0393,764,キュワワー,T519,K14,DUAL_REGION
FAMILY_KEY_0394,765,ヤレユータン,T519,K16,DUAL_REGION
FAMILY_KEY_0395,766,ナゲツケサル,T514,K09,DUAL_REGION
FAMILY_KEY_0396,767,コソクムシ,T038,K36,DUAL_REGION
FAMILY_KEY_0397,769,スナバァ,T515,K30,DUAL_REGION
FAMILY_KEY_0398,771,ナマコブシ,T513,K19,DUAL_REGION
FAMILY_KEY_0399,772,タイプ：ヌル,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0400,774,メテノ,T040,K27,DUAL_REGION
FAMILY_KEY_0401,775,ネッコアラ,T039,K18,DUAL_REGION
FAMILY_KEY_0402,776,バクガメス,T037,K21,DUAL_REGION
FAMILY_KEY_0403,777,トゲデマル,T029,K40,DUAL_REGION
FAMILY_KEY_0404,778,ミミッキュ,T033,K08,DUAL_REGION
FAMILY_KEY_0405,779,ハギギシリ,T510,K29,DUAL_REGION
FAMILY_KEY_0406,780,ジジーロン,T509,K04,DUAL_REGION
FAMILY_KEY_0407,781,ダダリン,T033,K34,DUAL_REGION
FAMILY_KEY_0408,782,ジャラコ,T042,K42,DUAL_REGION
FAMILY_KEY_0409,785,カプ・コケコ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0410,786,カプ・テテフ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0411,787,カプ・ブルル,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0412,788,カプ・レヒレ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0413,789,コスモッグ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0414,793,ウツロイド,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0415,794,マッシブーン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0416,795,フェローチェ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0417,796,デンジュモク,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0418,797,テッカグヤ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0419,798,カミツルギ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0420,799,アクジキング,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0421,800,ネクロズマ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0422,801,マギアナ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0423,802,マーシャドー,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0424,803,ベベノム,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0425,805,ツンデツンデ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0426,806,ズガドーン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0427,807,ゼラオラ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0428,808,メルタン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0429,809,メルメタル,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0430,810,サルノリ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0431,813,ヒバニー,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0432,816,メッソン,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0433,819,ホシガリス,T501,K01,DUAL_REGION
FAMILY_KEY_0434,821,ココガラ,T502,K02,DUAL_REGION
FAMILY_KEY_0435,824,サッチムシ,T026,K26,DUAL_REGION
FAMILY_KEY_0436,827,クスネ,T503,K07,DUAL_REGION
FAMILY_KEY_0437,829,ヒメンカ,T504,K33,DUAL_REGION
FAMILY_KEY_0438,831,ウールー,T519,K14,DUAL_REGION
FAMILY_KEY_0439,833,カムカメ,T508,K06,DUAL_REGION
FAMILY_KEY_0440,835,ワンパチ,T029,K10,DUAL_REGION
FAMILY_KEY_0441,837,タンドン,T024,K39,DUAL_REGION
FAMILY_KEY_0442,840,カジッチュ,T026,K33,DUAL_REGION
FAMILY_KEY_0443,843,スナヘビ,T505,K28,DUAL_REGION
FAMILY_KEY_0444,845,ウッウ,T509,K25,DUAL_REGION
FAMILY_KEY_0445,846,サシカマス,T507,K19,DUAL_REGION
FAMILY_KEY_0446,848,エレズン,T029,K40,DUAL_REGION
FAMILY_KEY_0447,850,ヤクデ,T028,K39,DUAL_REGION
FAMILY_KEY_0448,852,タタッコ,T522,K22,DUAL_REGION
FAMILY_KEY_0449,854,ヤバチャ,T025,K31,DUAL_REGION
FAMILY_KEY_0450,856,ミブリム,T025,K41,DUAL_REGION
FAMILY_KEY_0451,859,ベロバー,T035,K32,DUAL_REGION
FAMILY_KEY_0452,868,マホミル,T519,K33,DUAL_REGION
FAMILY_KEY_0453,870,タイレーツ,T042,K42,DUAL_REGION
FAMILY_KEY_0454,871,バチンウニ,T512,K20,DUAL_REGION
FAMILY_KEY_0455,872,ユキハミ,T030,K38,DUAL_REGION
FAMILY_KEY_0456,874,イシヘンジン,T521,K37,DUAL_REGION
FAMILY_KEY_0457,875,コオリッポ,T030,K38,DUAL_REGION
FAMILY_KEY_0458,876,イエッサン,T519,K41,DUAL_REGION
FAMILY_KEY_0459,877,モルペコ,T515,K07,DUAL_REGION
FAMILY_KEY_0460,878,ゾウドウ,T037,K37,DUAL_REGION
FAMILY_KEY_0461,880,パッチラゴン,T_FOSSIL,K45,DUAL_REGION
FAMILY_KEY_0462,881,パッチルドン,T_FOSSIL,K44,DUAL_REGION
FAMILY_KEY_0463,882,ウオノラゴン,T_FOSSIL,K44,DUAL_REGION
FAMILY_KEY_0464,883,ウオチルドン,T_FOSSIL,K44,DUAL_REGION
FAMILY_KEY_0465,884,ジュラルドン,T034,K41,DUAL_REGION
FAMILY_KEY_0466,885,ドラメシヤ,T033,K43,DUAL_REGION
FAMILY_KEY_0467,888,ザシアン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0468,889,ザマゼンタ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0469,890,ムゲンダイナ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0470,891,ダクマ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0471,893,ザルード,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0472,894,レジエレキ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0473,895,レジドラゴ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0474,896,ブリザポス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0475,897,レイスポス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0476,898,バドレックス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0477,905,ラブトロス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0478,906,ニャオハ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0479,909,ホゲータ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0480,912,クワッス,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0481,915,グルトン,T501,K01,DUAL_REGION
FAMILY_KEY_0482,917,タマンチュラ,T502,K26,DUAL_REGION
FAMILY_KEY_0483,919,マメバッタ,T503,K03,DUAL_REGION
FAMILY_KEY_0484,921,パモ,T501,K01,DUAL_REGION
FAMILY_KEY_0485,924,ワッカネズミ,T502,K05,DUAL_REGION
FAMILY_KEY_0486,926,パピモッチ,T504,K05,DUAL_REGION
FAMILY_KEY_0487,928,ミニーブ,T504,K33,DUAL_REGION
FAMILY_KEY_0488,931,イキリンコ,T517,K11,DUAL_REGION
FAMILY_KEY_0489,932,コジオ,T024,K27,DUAL_REGION
FAMILY_KEY_0490,935,カルボウ,T028,K39,DUAL_REGION
FAMILY_KEY_0491,938,ズピカ,T508,K40,DUAL_REGION
FAMILY_KEY_0492,940,カイデン,T507,K11,DUAL_REGION
FAMILY_KEY_0493,942,オラチフ,T515,K08,DUAL_REGION
FAMILY_KEY_0494,944,シルシュルー,T515,K07,DUAL_REGION
FAMILY_KEY_0495,946,アノクサ,T521,K17,DUAL_REGION
FAMILY_KEY_0496,948,ノノクラゲ,T026,K35,DUAL_REGION
FAMILY_KEY_0497,950,ガケガニ,T505,K30,DUAL_REGION
FAMILY_KEY_0498,951,カプサイジ,T028,K39,DUAL_REGION
FAMILY_KEY_0499,953,シガロコ,T521,K17,DUAL_REGION
FAMILY_KEY_0500,955,ヒラヒナ,T521,K17,DUAL_REGION
FAMILY_KEY_0501,957,カヌチャン,T034,K41,DUAL_REGION
FAMILY_KEY_0502,960,ウミディグダ,T507,K19,DUAL_REGION
FAMILY_KEY_0503,962,オトシドリ,T514,K16,DUAL_REGION
FAMILY_KEY_0504,963,ナミイルカ,T507,K19,DUAL_REGION
FAMILY_KEY_0505,965,ブロロン,T034,K32,DUAL_REGION
FAMILY_KEY_0506,967,モトトカゲ,T517,K17,DUAL_REGION
FAMILY_KEY_0507,968,ミミズズ,T518,K28,DUAL_REGION
FAMILY_KEY_0508,969,キラーメ,T043,K39,DUAL_REGION
FAMILY_KEY_0509,971,ボチ,T025,K31,DUAL_REGION
FAMILY_KEY_0510,973,カラミンゴ,T520,K14,DUAL_REGION
FAMILY_KEY_0511,974,アルクジラ,T030,K38,DUAL_REGION
FAMILY_KEY_0512,976,ミガルーサ,T510,K19,DUAL_REGION
FAMILY_KEY_0513,977,ヘイラッシャ,T523,K21,DUAL_REGION
FAMILY_KEY_0514,978,シャリタツ,T523,K21,DUAL_REGION
FAMILY_KEY_0515,984,イダイナキバ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0516,985,サケブシッポ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0517,986,アラブルタケ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0518,987,ハバタクカミ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0519,988,チヲハウハネ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0520,989,スナノケガワ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0521,990,テツノワダチ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0522,991,テツノツツミ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0523,992,テツノカイナ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0524,993,テツノコウベ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0525,994,テツノドクガ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0526,995,テツノイバラ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0527,996,セビエ,T031,K42,DUAL_REGION
FAMILY_KEY_0528,999,コレクレー,T043,K41,DUAL_REGION
FAMILY_KEY_0529,1001,チオンジェン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0530,1002,パオジアン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0531,1003,ディンルー,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0532,1004,イーユイ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0533,1005,トドロクツキ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0534,1006,テツノブジン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0535,1007,コライドン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0536,1008,ミライドン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0537,1009,ウネルミナモ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0538,1010,テツノイサハ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0539,1012,チャデス,T033,K31,DUAL_REGION
FAMILY_KEY_0540,1014,イイネイヌ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0541,1015,マシマシラ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0542,1016,キチキギス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0543,1017,オーガポン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0544,1020,ウガツホムラ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0545,1021,タケルライコ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0547,1022,テツノイワオ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0546,1023,テツノカシラ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0548,1024,テラパゴス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0549,1025,モモワロウ,EVENT_T,EVENT_K,DUAL_REGION
