claim_bit_index,claim_key,event_keys,species_keys,max_claims,migration_seed
0,CLAIM_ENABLING_FORM_1393,EVENT_REGIONAL_EGG_1393,SPECIES_KEY_MEOWTH_G,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
143,SHARED_CAPTURE_KEY_NATIONAL_0994,EVENT_SPECIAL_NATIONAL_0994,SPECIES_KEY_IRON_MOTH,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
144,SHARED_CAPTURE_KEY_NATIONAL_0995,EVENT_SPECIAL_NATIONAL_0995,SPECIES_KEY_IRON_THORNS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
145,SHARED_CAPTURE_KEY_NATIONAL_1001,EVENT_SPECIAL_NATIONAL_1001,SPECIES_KEY_WO_CHIEN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
146,SHARED_CAPTURE_KEY_NATIONAL_1002,EVENT_SPECIAL_NATIONAL_1002,SPECIES_KEY_CHIEN_PAO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
147,SHARED_CAPTURE_KEY_NATIONAL_1003,EVENT_SPECIAL_NATIONAL_1003,SPECIES_KEY_TING_LU,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
148,SHARED_CAPTURE_KEY_NATIONAL_1004,EVENT_SPECIAL_NATIONAL_1004,SPECIES_KEY_CHI_YU,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
149,SHARED_CAPTURE_KEY_NATIONAL_1005,EVENT_SPECIAL_NATIONAL_1005,SPECIES_KEY_ROARING_MOON,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
150,SHARED_CAPTURE_KEY_NATIONAL_1006,EVENT_SPECIAL_NATIONAL_1006,SPECIES_KEY_IRON_VALIANT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
151,SHARED_CAPTURE_KEY_NATIONAL_1007,EVENT_SPECIAL_NATIONAL_1007,SPECIES_KEY_KORAIDON,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
152,SHARED_CAPTURE_KEY_NATIONAL_1008,EVENT_SPECIAL_NATIONAL_1008,SPECIES_KEY_MIRAIDON,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
153,SHARED_CAPTURE_KEY_NATIONAL_1009,EVENT_SPECIAL_NATIONAL_1009,SPECIES_KEY_WALKING_WAKE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
154,SHARED_CAPTURE_KEY_NATIONAL_1010,EVENT_SPECIAL_NATIONAL_1010,SPECIES_KEY_IRON_LEAVES,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
155,SHARED_CAPTURE_KEY_NATIONAL_1014,EVENT_SPECIAL_NATIONAL_1014,SPECIES_KEY_OKIDOGI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
156,SHARED_CAPTURE_KEY_NATIONAL_1015,EVENT_SPECIAL_NATIONAL_1015,SPECIES_KEY_MUNKIDORI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
157,SHARED_CAPTURE_KEY_NATIONAL_1016,EVENT_SPECIAL_NATIONAL_1016,SPECIES_KEY_FEZANDIPITI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
158,SHARED_CAPTURE_KEY_NATIONAL_1017,EVENT_SPECIAL_NATIONAL_1017,SPECIES_KEY_OGERPON,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
159,SHARED_CAPTURE_KEY_NATIONAL_1020,EVENT_SPECIAL_NATIONAL_1020,SPECIES_KEY_GOUGING_FIRE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
160,SHARED_CAPTURE_KEY_NATIONAL_1021,EVENT_SPECIAL_NATIONAL_1021,SPECIES_KEY_RAGING_BOLT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
161,SHARED_CAPTURE_KEY_NATIONAL_1022,EVENT_SPECIAL_NATIONAL_1022,SPECIES_KEY_IRON_BOULDER,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
162,SHARED_CAPTURE_KEY_NATIONAL_1023,EVENT_SPECIAL_NATIONAL_1023,SPECIES_KEY_IRON_CROWN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
163,SHARED_CAPTURE_KEY_NATIONAL_1024,EVENT_SPECIAL_NATIONAL_1024,SPECIES_KEY_TERAPAGOS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
164,SHARED_CAPTURE_KEY_NATIONAL_1025,EVENT_SPECIAL_NATIONAL_1025,SPECIES_KEY_PECHARUNT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
165,SHARED_CAPTURE_KEY_VEGA_0121,EVENT_FOSSIL_RESTORE_VEGA_0121,SPECIES_KEY_VEGA_121,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
166,SHARED_CAPTURE_KEY_VEGA_0142,EVENT_VEGA_ARCHIVE_0142,SPECIES_KEY_VEGA_142,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
167,SHARED_CAPTURE_KEY_VEGA_0143,EVENT_VEGA_ARCHIVE_0143,SPECIES_KEY_VEGA_143,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
168,SHARED_CAPTURE_KEY_VEGA_0144,EVENT_VEGA_ARCHIVE_0144,SPECIES_KEY_VEGA_144,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
169,SHARED_CAPTURE_KEY_VEGA_0388,EVENT_FOSSIL_RESTORE_VEGA_0388,SPECIES_KEY_VEGA_388,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
170,SHARED_CAPTURE_KEY_VEGA_0390,EVENT_FOSSIL_RESTORE_VEGA_0390,SPECIES_KEY_VEGA_390,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
171,SHARED_CAPTURE_KEY_VEGA_0400,EVENT_VEGA_ARCHIVE_0400,SPECIES_KEY_VEGA_400,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
172,SHARED_CAPTURE_KEY_VEGA_0401,EVENT_VEGA_ARCHIVE_0401,SPECIES_KEY_VEGA_401,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
173,SHARED_CAPTURE_KEY_VEGA_0402,EVENT_VEGA_ARCHIVE_0402,SPECIES_KEY_VEGA_402,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
174,SHARED_CAPTURE_KEY_VEGA_0406,EVENT_VEGA_ARCHIVE_0406,SPECIES_KEY_VEGA_406,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
175,SHARED_CAPTURE_KEY_VEGA_0410,EVENT_VEGA_ARCHIVE_0410,SPECIES_KEY_VEGA_410,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
