national_no,name,group,vega_existing,event_arc,primary_capture_region,primary_capture_location,secondary_clue_region,secondary_clue_location,unlock_requirement,event_flow,capture_level,primary_reward,secondary_reward,repeatability,capture_safety,shared_flag_policy,design_note
648,メロエッタ,幻,no,いにしえの旋律,カントー,シオン音楽堂,トーホク,カラスバ劇場,殿堂入り＋音符アイテム4個,地方各地の演奏家から音符を集め、舞台で固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0648_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
649,ゲノセクト,幻,no,凍結された設計図,カントー,ふたごじま凍結研究室,トーホク,こおりのしま研究区,殿堂入り＋研究ランク4,復元端末にカセット4種を登録して固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0649_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
716,ゼルネアス,伝説,no,生命・破壊・秩序,トーホク,ハクジのもり／ダークタワー／スフィアいせき,カントー,タマムシ温室／ポケモンタワー／ハナダのどうくつ,全国研究ランク4,環境ゲージを均衡させる。ジガルデセル収集は50個に圧縮。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0716_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
717,イベルタル,伝説,no,生命・破壊・秩序,カントー,タマムシ温室／ポケモンタワー／ハナダのどうくつ,トーホク,ハクジのもり／ダークタワー／スフィアいせき,全国研究ランク4,環境ゲージを均衡させる。ジガルデセル収集は50個に圧縮。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0717_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
718,ジガルデ,伝説,no,生命・破壊・秩序,トーホク,ハクジのもり／ダークタワー／スフィアいせき,カントー,タマムシ温室／ポケモンタワー／ハナダのどうくつ,全国研究ランク4,環境ゲージを均衡させる。ジガルデセル収集は50個に圧縮。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0718_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
719,ディアンシー,幻,no,鉱脈の姫,トーホク,ちえのどうくつ宝石層,カントー,おつきみやま結晶洞,殿堂入り＋鉱石納品,鉱夫救助後に固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0719_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
720,フーパ,幻,no,いましめの輪,カントー,ポケモンタワー封印階,トーホク,スフィアいせき封印室,殿堂入り＋各地の封印輪3個,輪を開閉する短いワープパズル。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0720_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
721,ボルケニオン,幻,no,蒸気機関の島,トーホク,ひのしま蒸気坑,カントー,グレン研究所・蒸気実験室,殿堂入り＋ボルケニオン用圧力弁,噴気孔を閉じて固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0721_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
772,タイプ：ヌル,伝説,no,人工生命保護,カントー,シルフカンパニー隔離室,トーホク,D・H異常生態区画,D・H残党イベント完了,タイプ：ヌルを譲渡。十分になつかせて通常進化。メモリは研究ランク報酬。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0772_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
773,シルヴァディ,伝説,no,人工生命保護,カントー,シルフカンパニー隔離室,トーホク,D・H異常生態区画,D・H残党イベント完了,タイプ：ヌルを譲渡。十分になつかせて通常進化。メモリは研究ランク報酬。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0773_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
785,カプ・コケコ,伝説,no,四島の守り神,トーホク,火・雷・氷・ニューアイランド祭壇,カントー,トキワのもり／24ばんどうろ／セキチク湿地／20ばん水道,殿堂入り＋各島試練,島ごとの3分程度の試練後に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0785_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
786,カプ・テテフ,伝説,no,四島の守り神,トーホク,火・雷・氷・ニューアイランド祭壇,カントー,トキワのもり／24ばんどうろ／セキチク湿地／20ばん水道,殿堂入り＋各島試練,島ごとの3分程度の試練後に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0786_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
787,カプ・ブルル,伝説,no,四島の守り神,トーホク,火・雷・氷・ニューアイランド祭壇,カントー,トキワのもり／24ばんどうろ／セキチク湿地／20ばん水道,殿堂入り＋各島試練,島ごとの3分程度の試練後に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0787_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
788,カプ・レヒレ,伝説,no,四島の守り神,トーホク,火・雷・氷・ニューアイランド祭壇,カントー,トキワのもり／24ばんどうろ／セキチク湿地／20ばん水道,殿堂入り＋各島試練,島ごとの3分程度の試練後に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0788_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
789,コスモッグ,伝説,no,星雲の子,トーホク,ニューアイランド天文台／スフィアいせき,カントー,ニビ博物館天文室／ハナダのどうくつ宇宙層,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0789_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
790,コスモウム,伝説,no,星雲の子,トーホク,ニューアイランド天文台／スフィアいせき,カントー,ニビ博物館天文室／ハナダのどうくつ宇宙層,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0790_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
791,ソルガレオ,伝説,no,星雲の子,トーホク,ニューアイランド天文台／スフィアいせき,カントー,ニビ博物館天文室／ハナダのどうくつ宇宙層,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0791_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
792,ルナアーラ,伝説,no,星雲の子,トーホク,ニューアイランド天文台／スフィアいせき,カントー,ニビ博物館天文室／ハナダのどうくつ宇宙層,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0792_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
793,ウツロイド,UB,no,ウルトラホール調査,トーホク,スフィアいせき・裂け目区画,カントー,シルフカンパニー異常転送室,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0793_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
794,マッシブーン,UB,no,ウルトラホール調査,カントー,シルフカンパニー異常転送室,トーホク,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0794_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
795,フェローチェ,UB,no,ウルトラホール調査,トーホク,スフィアいせき・裂け目区画,カントー,シルフカンパニー異常転送室,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0795_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
796,デンジュモク,UB,no,ウルトラホール調査,カントー,シルフカンパニー異常転送室,トーホク,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0796_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
797,テッカグヤ,UB,no,ウルトラホール調査,トーホク,スフィアいせき・裂け目区画,カントー,シルフカンパニー異常転送室,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0797_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
798,カミツルギ,UB,no,ウルトラホール調査,カントー,シルフカンパニー異常転送室,トーホク,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0798_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
799,アクジキング,UB,no,ウルトラホール調査,トーホク,スフィアいせき・裂け目区画,カントー,シルフカンパニー異常転送室,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0799_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
800,ネクロズマ,伝説,no,星雲の子,トーホク,ニューアイランド天文台／スフィアいせき,カントー,ニビ博物館天文室／ハナダのどうくつ宇宙層,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0800_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
801,マギアナ,幻,no,失われた機巧,カントー,シルフ資料庫,トーホク,オウニ工房,殿堂入り＋部品5種,工房で復元して受取。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0801_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
802,マーシャドー,幻,no,影踏みの試練,トーホク,ダークタワー影区画,カントー,ポケモンタワー影階,殿堂入り＋夜間,影だけを追う短い追跡イベント後に固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0802_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
803,ベベノム,UB,no,ウルトラホール調査,トーホク,スフィアいせき・裂け目区画,カントー,シルフカンパニー異常転送室,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0803_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
804,アーゴヨン,UB,no,ウルトラホール調査,カントー,シルフカンパニー異常転送室,トーホク,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0804_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
805,ツンデツンデ,UB,no,ウルトラホール調査,トーホク,スフィアいせき・裂け目区画,カントー,シルフカンパニー異常転送室,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0805_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
806,ズガドーン,UB,no,ウルトラホール調査,カントー,シルフカンパニー異常転送室,トーホク,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,Lv.90,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0806_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
807,ゼラオラ,幻,no,雷光の救助,カントー,むじんはつでんしょ,トーホク,かみなりのしま,殿堂入り＋停電復旧,発電設備を直すと固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0807_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
808,メルタン,幻,no,金属生命の群れ,カントー,シルフ地下／むじんはつでんしょ,トーホク,D・H工業区画,殿堂入り,メルタンは複数捕獲可。メタルくず40個でメルメタル進化。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0808_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
809,メルメタル,幻,no,金属生命の群れ,カントー,シルフ地下／むじんはつでんしょ,トーホク,D・H工業区画,殿堂入り,メルタンは複数捕獲可。メタルくず40個でメルメタル進化。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0809_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
888,ザシアン,伝説,no,双王の武具,カントー,ニビ博物館王具展示室,トーホク,ポケモンじょう宝物庫,スフィアいせき後,くちたけん／くちたたてを返還して各固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0888_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
889,ザマゼンタ,伝説,no,双王の武具,トーホク,ポケモンじょう宝物庫,カントー,ニビ博物館王具展示室,スフィアいせき後,くちたけん／くちたたてを返還して各固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0889_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
890,ムゲンダイナ,伝説,no,無限炉心レイド,カントー,シルフ非常電源室,トーホク,D・H炉心,殿堂入り＋ダイマックスバンド,指定レイドとして戦闘。捕獲は初回のみ。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0890_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
891,ダクマ,伝説,no,双拳の道,カントー,ヤマブキ格闘道場,トーホク,ポケモンじょう修練場,殿堂入り,ダクマ譲渡後、あく／みずの修練札で分岐進化。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0891_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
892,ウーラオス,伝説,no,双拳の道,トーホク,ポケモンじょう修練場,カントー,ヤマブキ格闘道場,殿堂入り,ダクマ譲渡後、あく／みずの修練札で分岐進化。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0892_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
893,ザルード,幻,no,深緑の守護者,トーホク,ハクジのもり奥,カントー,トキワのもり奥,全国研究ランク4,森の薬草を守るイベント後に固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0893_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
894,レジエレキ,伝説,no,新たな巨人,カントー,むじんはつでんしょ／ハナダのどうくつ,トーホク,かみなりのしま／D・H時空観測室,レジ系3体登録,左右どちらも最終的に解禁し、排他にしない。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0894_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
895,レジドラゴ,伝説,no,新たな巨人,カントー,むじんはつでんしょ／ハナダのどうくつ,トーホク,かみなりのしま／D・H時空観測室,レジ系3体登録,左右どちらも最終的に解禁し、排他にしない。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0895_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
896,ブリザポス,伝説,no,雪原の王冠,トーホク,ユキユキやま王冠区画,カントー,ふたごじま地下王冠区画,殿堂入り＋豊穣イベント,二頭を個別捕獲後、バドレックスを固定戦。手綱で合体切替。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0896_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
897,レイスポス,伝説,no,雪原の王冠,カントー,ふたごじま地下王冠区画,トーホク,ユキユキやま王冠区画,殿堂入り＋豊穣イベント,二頭を個別捕獲後、バドレックスを固定戦。手綱で合体切替。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0897_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
898,バドレックス,伝説,no,雪原の王冠,トーホク,ユキユキやま王冠区画,カントー,ふたごじま地下王冠区画,殿堂入り＋豊穣イベント,二頭を個別捕獲後、バドレックスを固定戦。手綱で合体切替。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0898_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
