national_no,name,identifier,generation,types,evolution_chain_id,family_category,is_legendary,is_mythical,vega_status,integration_action,earliest_gate,primary_area,acquisition_method,encounter_rate_or_limit,conditions,dex_policy,id_policy,root_name,family,integration_mode,tohoku_map_code,tohoku_location,tohoku_method,tohoku_level,tohoku_rate,tohoku_condition,kanto_map_code,kanto_location,kanto_method,kanto_level,kanto_rate,kanto_condition,dual_region_role,table_policy,implementation_priority,tohoku_acquisition_summary,tohoku_final_location,tohoku_final_method,tohoku_final_rate,tohoku_final_condition,kanto_acquisition_summary,kanto_final_location,kanto_final_method,kanto_final_rate,kanto_final_condition,cross_region_completion_rule,source_design
629,バルチャイ,vullaby,5,あく／ひこう,320,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ダークタワー,屋内オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0629（新規16bit ID）,バルチャイ,バルチャイ → バルジーナ,外来生態レイヤーへ追加,T522,522ばんどうろ／すいどう,夜間オーバーレイ,Lv.47～54,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K03,3ばんどうろ,夜間オーバーレイ,Lv.71～75,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,522ばんどうろ／すいどう,夜間オーバーレイ,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,3ばんどうろ,夜間オーバーレイ,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
630,バルジーナ,mandibuzz,5,あく／ひこう,320,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ダークタワー,進化,―,レベルアップ＋Lv.54以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0630（新規16bit ID）,バルチャイ,バルチャイ → バルジーナ,外来生態レイヤーへ追加,T522,522ばんどうろ／すいどう,夜間オーバーレイ,Lv.47～54,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K03,3ばんどうろ,夜間オーバーレイ,Lv.71～75,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,バルチャイをトーホクで捕獲して進化,522ばんどうろ／すいどう,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,バルチャイをカントーで捕獲して進化,3ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
631,クイタラン,heatmor,5,ほのお,321,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,510～513ばんどうろ,草むらオーバーレイ,4～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0631（新規16bit ID）,クイタラン,クイタラン,外来生態レイヤーへ追加,T037,サファリゾーン西,草むらオーバーレイ,Lv.38～48／殿堂入り後Lv.55～70,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K17,17ばんどうろ,草むらオーバーレイ,Lv.83～89,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,サファリゾーン西,草むらオーバーレイ,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,17ばんどうろ,草むらオーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
632,アイアント,durant,5,むし／はがね,322,通常生態,no,no,未収録・追加対象,新IDへ追加,バッジ3～4個,503ばんどうろ,草むらオーバーレイ,4～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0632（新規16bit ID）,アイアント,アイアント,外来生態レイヤーへ追加,T036,サファリゾーン東,ずつき／朝昼オーバーレイ,Lv.38～48／殿堂入り後Lv.55～70,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K33,タマムシ温室,ずつき／朝昼オーバーレイ,Lv.82～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P1,トーホク野生生態,サファリゾーン東,ずつき／朝昼オーバーレイ,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,タマムシ温室,ずつき／朝昼オーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
633,モノズ,deino,5,あく／ドラゴン,323,600族,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,D・H異常生態区画（新規小部屋）,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0633（新規16bit ID）,モノズ,モノズ → ジヘッド → サザンドラ,外来生態レイヤーへ追加,T040,ニューアイランド,DexNav隠し枠,Lv.50～60／殿堂入り後Lv.65～82,通常0%／DexNav 1～2%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K23,23ばんどうろ,DexNav隠し枠,Lv.92～98,通常0%／DexNav 1～2%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,ニューアイランド,DexNav隠し枠,通常0%／DexNav 1～2%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,23ばんどうろ,DexNav隠し枠,通常0%／DexNav 1～2%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
634,ジヘッド,zweilous,5,あく／ドラゴン,323,600族,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,D・H異常生態区画（新規小部屋）,進化,―,レベルアップ＋Lv.50以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0634（新規16bit ID）,モノズ,モノズ → ジヘッド → サザンドラ,外来生態レイヤーへ追加,T040,ニューアイランド,DexNav隠し枠,Lv.50～60／殿堂入り後Lv.65～82,通常0%／DexNav 1～2%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K23,23ばんどうろ,DexNav隠し枠,Lv.92～98,通常0%／DexNav 1～2%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,モノズをトーホクで捕獲して進化,ニューアイランド,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,モノズをカントーで捕獲して進化,23ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
635,サザンドラ,hydreigon,5,あく／ドラゴン,323,600族,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,D・H異常生態区画（新規小部屋）,進化,―,レベルアップ＋Lv.64以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0635（新規16bit ID）,モノズ,モノズ → ジヘッド → サザンドラ,外来生態レイヤーへ追加,T040,ニューアイランド,DexNav隠し枠,Lv.50～60／殿堂入り後Lv.65～82,通常0%／DexNav 1～2%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K23,23ばんどうろ,DexNav隠し枠,Lv.92～98,通常0%／DexNav 1～2%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,モノズをトーホクで捕獲して進化,ニューアイランド,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,モノズをカントーで捕獲して進化,23ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
636,メラルバ,larvesta,5,むし／ほのお,324,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン西,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0636（新規16bit ID）,メラルバ,メラルバ → ウルガモス,外来生態レイヤーへ追加,T503,503ばんどうろ／すいどう,草むらオーバーレイ,Lv.5～9,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K24,24ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,503ばんどうろ／すいどう,草むらオーバーレイ,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,24ばんどうろ,草むらオーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
637,ウルガモス,volcarona,5,むし／ほのお,324,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン西,進化,―,レベルアップ＋Lv.59以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0637（新規16bit ID）,メラルバ,メラルバ → ウルガモス,外来生態レイヤーへ追加,T503,503ばんどうろ／すいどう,草むらオーバーレイ,Lv.5～9,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K24,24ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,メラルバをトーホクで捕獲して進化,503ばんどうろ／すいどう,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,メラルバをカントーで捕獲して進化,24ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
638,コバルオン,cobalion,5,はがね／かくとう,325,伝説,yes,no,未収録・追加対象,新IDへ追加,殿堂入り＋格闘調査,チャンピオンロード増設道場,固定シンボル／専用クエスト,―,三つの実戦課題をクリアして順番に固定戦。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0638（新規16bit ID）,コバルオン,コバルオン,固定イベント追加,EVENT_T,チャンピオンロード増設道場,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,殿堂入り＋格闘調査＋主地方の捕獲フラグ共有,EVENT_K,ヤマブキ格闘道場／チャンピオンロード,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,殿堂入り＋格闘調査,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク側の手掛かり・共鳴イベント,チャンピオンロード増設道場,手掛かり／共鳴戦／専用素材,重複捕獲なし,殿堂入り＋格闘調査＋共有捕獲フラグ確認,カントー固定イベントで捕獲,ヤマブキ格闘道場／チャンピオンロード,固定シンボル／専用クエスト,原則1体・撃破時復活,殿堂入り＋格闘調査,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
639,テラキオン,terrakion,5,いわ／かくとう,326,伝説,yes,no,未収録・追加対象,新IDへ追加,殿堂入り＋格闘調査,チャンピオンロード増設道場,固定シンボル／専用クエスト,―,三つの実戦課題をクリアして順番に固定戦。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0639（新規16bit ID）,テラキオン,テラキオン,固定イベント追加,EVENT_T,チャンピオンロード増設道場,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,殿堂入り＋格闘調査＋主地方の捕獲フラグ共有,EVENT_K,ヤマブキ格闘道場／チャンピオンロード,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,殿堂入り＋格闘調査,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク側の手掛かり・共鳴イベント,チャンピオンロード増設道場,手掛かり／共鳴戦／専用素材,重複捕獲なし,殿堂入り＋格闘調査＋共有捕獲フラグ確認,カントー固定イベントで捕獲,ヤマブキ格闘道場／チャンピオンロード,固定シンボル／専用クエスト,原則1体・撃破時復活,殿堂入り＋格闘調査,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
640,ビリジオン,virizion,5,くさ／かくとう,327,伝説,yes,no,未収録・追加対象,新IDへ追加,殿堂入り＋格闘調査,チャンピオンロード増設道場,固定シンボル／専用クエスト,―,三つの実戦課題をクリアして順番に固定戦。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0640（新規16bit ID）,ビリジオン,ビリジオン,固定イベント追加,EVENT_T,チャンピオンロード増設道場,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,殿堂入り＋格闘調査＋主地方の捕獲フラグ共有,EVENT_K,ヤマブキ格闘道場／チャンピオンロード,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,殿堂入り＋格闘調査,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク側の手掛かり・共鳴イベント,チャンピオンロード増設道場,手掛かり／共鳴戦／専用素材,重複捕獲なし,殿堂入り＋格闘調査＋共有捕獲フラグ確認,カントー固定イベントで捕獲,ヤマブキ格闘道場／チャンピオンロード,固定シンボル／専用クエスト,原則1体・撃破時復活,殿堂入り＋格闘調査,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
641,トルネロス,tornadus,5,ひこう,328,伝説,yes,no,未収録・追加対象,新IDへ追加,殿堂入り＋天候観測器,各島＋521ばんどうろ,固定シンボル／専用クエスト,―,天候を切替えて固定戦。うつしかがみを同時入手。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0641（新規16bit ID）,トルネロス,トルネロス,固定イベント追加,EVENT_T,三島＋521ばんどうろ,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,殿堂入り＋天候観測器,EVENT_K,9・10・17・20ばんどうろ観測柱,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,殿堂入り＋天候観測器＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク固定イベントで捕獲,三島＋521ばんどうろ,固定シンボル／専用クエスト,原則1体・撃破時復活,殿堂入り＋天候観測器,カントー側の手掛かり・共鳴イベント,9・10・17・20ばんどうろ観測柱,手掛かり／共鳴戦／専用素材,重複捕獲なし,殿堂入り＋天候観測器＋共有捕獲フラグ確認,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
642,ボルトロス,thundurus,5,でんき／ひこう,329,伝説,yes,no,未収録・追加対象,新IDへ追加,殿堂入り＋天候観測器,各島＋521ばんどうろ,固定シンボル／専用クエスト,―,天候を切替えて固定戦。うつしかがみを同時入手。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0642（新規16bit ID）,ボルトロス,ボルトロス,固定イベント追加,EVENT_T,三島＋521ばんどうろ,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,殿堂入り＋天候観測器＋主地方の捕獲フラグ共有,EVENT_K,9・10・17・20ばんどうろ観測柱,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,殿堂入り＋天候観測器,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク側の手掛かり・共鳴イベント,三島＋521ばんどうろ,手掛かり／共鳴戦／専用素材,重複捕獲なし,殿堂入り＋天候観測器＋共有捕獲フラグ確認,カントー固定イベントで捕獲,9・10・17・20ばんどうろ観測柱,固定シンボル／専用クエスト,原則1体・撃破時復活,殿堂入り＋天候観測器,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
643,レシラム,reshiram,5,ドラゴン／ほのお,330,伝説,yes,no,未収録・追加対象,新IDへ追加,スフィアいせき後,D・Hビル地下反応炉,固定シンボル／専用クエスト,―,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0643（新規16bit ID）,レシラム,レシラム,固定イベント追加,EVENT_T,D・Hビル地下反応炉,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,スフィアいせき後,EVENT_K,むじんはつでんしょ／シルフ動力室,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,スフィアいせき後＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク固定イベントで捕獲,D・Hビル地下反応炉,固定シンボル／専用クエスト,原則1体・撃破時復活,スフィアいせき後,カントー側の手掛かり・共鳴イベント,むじんはつでんしょ／シルフ動力室,手掛かり／共鳴戦／専用素材,重複捕獲なし,スフィアいせき後＋共有捕獲フラグ確認,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
644,ゼクロム,zekrom,5,ドラゴン／でんき,331,伝説,yes,no,未収録・追加対象,新IDへ追加,スフィアいせき後,D・Hビル地下反応炉,固定シンボル／専用クエスト,―,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0644（新規16bit ID）,ゼクロム,ゼクロム,固定イベント追加,EVENT_T,D・Hビル地下反応炉,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,スフィアいせき後,EVENT_K,むじんはつでんしょ／シルフ動力室,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,スフィアいせき後＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク固定イベントで捕獲,D・Hビル地下反応炉,固定シンボル／専用クエスト,原則1体・撃破時復活,スフィアいせき後,カントー側の手掛かり・共鳴イベント,むじんはつでんしょ／シルフ動力室,手掛かり／共鳴戦／専用素材,重複捕獲なし,スフィアいせき後＋共有捕獲フラグ確認,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
645,ランドロス,landorus,5,じめん／ひこう,332,伝説,yes,no,未収録・追加対象,新IDへ追加,殿堂入り＋天候観測器,各島＋521ばんどうろ,固定シンボル／専用クエスト,―,天候を切替えて固定戦。うつしかがみを同時入手。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0645（新規16bit ID）,ランドロス,ランドロス,固定イベント追加,EVENT_T,三島＋521ばんどうろ,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,殿堂入り＋天候観測器＋主地方の捕獲フラグ共有,EVENT_K,9・10・17・20ばんどうろ観測柱,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,殿堂入り＋天候観測器,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク側の手掛かり・共鳴イベント,三島＋521ばんどうろ,手掛かり／共鳴戦／専用素材,重複捕獲なし,殿堂入り＋天候観測器＋共有捕獲フラグ確認,カントー固定イベントで捕獲,9・10・17・20ばんどうろ観測柱,固定シンボル／専用クエスト,原則1体・撃破時復活,殿堂入り＋天候観測器,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
646,キュレム,kyurem,5,ドラゴン／こおり,333,伝説,yes,no,未収録・追加対象,新IDへ追加,スフィアいせき後,D・Hビル地下反応炉,固定シンボル／専用クエスト,―,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0646（新規16bit ID）,キュレム,キュレム,固定イベント追加,EVENT_T,D・Hビル地下反応炉,固定シンボル／専用クエスト,Lv.75,原則1体・撃破時復活,スフィアいせき後,EVENT_K,むじんはつでんしょ／シルフ動力室,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,スフィアいせき後＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2,トーホク固定イベントで捕獲,D・Hビル地下反応炉,固定シンボル／専用クエスト,原則1体・撃破時復活,スフィアいせき後,カントー側の手掛かり・共鳴イベント,むじんはつでんしょ／シルフ動力室,手掛かり／共鳴戦／専用素材,重複捕獲なし,スフィアいせき後＋共有捕獲フラグ確認,主捕獲地方で1個体のみ捕獲。副地方は手掛かり・共鳴戦・素材報酬を担当し、共有捕獲フラグで重複個体を防止。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
