evolution_chain_id,root_national_no,family,root_name,generation_first,types,category,vega_existing_members,new_members_to_import,integration_mode,tohoku_map_code,tohoku_location,tohoku_method,tohoku_level,tohoku_rate,tohoku_condition,kanto_map_code,kanto_location,kanto_method,kanto_level,kanto_rate,kanto_condition,dual_region_role,table_policy,implementation_priority
94,191,ヒマナッツ → キマワリ,ヒマナッツ,2,くさ,通常生態,なし,ヒマナッツ・キマワリ,外来生態レイヤーへ追加,T026,ハクジのもり,ずつき／朝昼オーバーレイ,Lv.38～48／殿堂入り後Lv.50～65,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K02,2ばんどうろ,ずつき／朝昼オーバーレイ,Lv.69～73,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
95,193,ヤンヤンマ → メガヤンマ,ヤンヤンマ,2,ひこう／むし,通常生態,なし,ヤンヤンマ・メガヤンマ,外来生態レイヤーへ追加,T502,502ばんどうろ／すいどう,ずつき／朝昼オーバーレイ,Lv.3～6,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K24,24ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
96,194,ウパー → ヌオー → ドオー,ウパー,2,どく／じめん／みず,通常生態,なし,ウパー・ヌオー・ドオー,外来生態レイヤーへ追加,T027,かいていトンネル,釣りオーバーレイ,Lv.20～30,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K06,6ばんどうろ,釣りオーバーレイ,Lv.75～80,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
97,198,ヤミカラス → ドンカラス,ヤミカラス,2,ひこう／あく,通常生態,ヤミカラス・ドンカラス,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K11,11ばんどうろ,夜間オーバーレイ,Lv.76～82,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
98,200,ムウマ → ムウマージ,ムウマ,2,ゴースト,通常生態,なし,ムウマ・ムウマージ,外来生態レイヤーへ追加,T033,ときのようかん,夜間オーバーレイ,Lv.43～55／殿堂入り後Lv.60～75,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K31,ポケモンタワー,夜間オーバーレイ,Lv.82～90,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
99,201,アンノーン,アンノーン,2,エスパー,通常生態,アンノーン,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K41,シルフカンパニー,洞窟・屋内オーバーレイ,Lv.90～97（異常遭遇）,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
101,203,キリンリキ → リキキリン,キリンリキ,2,ノーマル／エスパー,通常生態,キリンリキ,リキキリン,既存系統の拡張,T519,519ばんどうろ／すいどう,既存個体から追加進化＋草むらオーバーレイ,Lv.41～48,基礎種は既存／進化道具・技条件,ベガ内の既存種を入口にし、未収録の前進化・分岐・追加進化だけを追加。重複する野生個体は作らない。,K14,14ばんどうろ,草むらオーバーレイ＋追加進化道具,Lv.84～89,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクの既存個体を無駄にせず追加進化可能。カントーは進化道具と高レベル素材の供給地。,既存種族IDを固定し、進化先だけ新IDへ接続,P1
102,204,クヌギダマ → フォレトス,クヌギダマ,2,むし／はがね,通常生態,クヌギダマ・フォレトス,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K33,タマムシ温室,ずつき／朝昼オーバーレイ,Lv.82～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
103,206,ノコッチ → ノココッチ,ノコッチ,2,ノーマル,通常生態,ノコッチ,ノココッチ,既存系統の拡張,T024,ちえのどうくつ,既存個体から追加進化＋洞窟・屋内オーバーレイ,Lv.6～9／殿堂入り後Lv.44～48,基礎種は既存／進化道具・技条件,ベガ内の既存種を入口にし、未収録の前進化・分岐・追加進化だけを追加。重複する野生個体は作らない。,K30,イワヤマトンネル,洞窟・屋内オーバーレイ＋追加進化道具,Lv.80～87,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクの既存個体を無駄にせず追加進化可能。カントーは進化道具と高レベル素材の供給地。,既存種族IDを固定し、進化先だけ新IDへ接続,P1
104,207,グライガー → グライオン,グライガー,2,ひこう／じめん,通常生態,なし,グライガー・グライオン,外来生態レイヤーへ追加,T505,505ばんどうろ／すいどう,いわくだき／DexNav,Lv.10～14,通常0%／DexNav 2～5%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K04,4ばんどうろ,草むらオーバーレイ,Lv.72～77,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
105,209,ブルー → グランブル,ブルー,2,フェアリー,通常生態,なし,ブルー・グランブル,外来生態レイヤーへ追加,T517,517ばんどうろ／すいどう,草むらオーバーレイ,Lv.38～45,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K33,タマムシ温室,草むらオーバーレイ,Lv.82～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
106,211,ハリーセン → ハリーマン,ハリーセン,2,どく／みず／あく,通常生態,なし,ハリーセン・ハリーマン,外来生態レイヤーへ追加,T508,508ばんどうろ／すいどう,水上オーバーレイ,Lv.19～25,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K15,15ばんどうろ,水上オーバーレイ,Lv.85～90,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
107,213,ツボツボ,ツボツボ,2,いわ／むし,通常生態,ツボツボ,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K03,3ばんどうろ,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
108,214,ヘラクロス,ヘラクロス,2,かくとう／むし,通常生態,なし,ヘラクロス,外来生態レイヤーへ追加,T505,505ばんどうろ／すいどう,草むらオーバーレイ,Lv.10～14,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K02,2ばんどうろ,ずつき／朝昼オーバーレイ,Lv.69～73,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
109,215,ニューラ → マニューラ → オオニューラ,ニューラ,2,かくとう／どく／こおり／あく,通常生態,ニューラ・マニューラ,オオニューラ,既存系統の拡張,T031,ユキユキやま,既存個体から追加進化＋洞窟・屋内オーバーレイ,Lv.36～46／殿堂入り後Lv.58～72,基礎種は既存／進化道具・技条件,ベガ内の既存種を入口にし、未収録の前進化・分岐・追加進化だけを追加。重複する野生個体は作らない。,K38,ふたごじま,洞窟・屋内オーバーレイ＋追加進化道具,Lv.88～96,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクの既存個体を無駄にせず追加進化可能。カントーは進化道具と高レベル素材の供給地。,既存種族IDを固定し、進化先だけ新IDへ接続,P1
110,216,ヒメグマ → リングマ → ガチグマ,ヒメグマ,2,ノーマル／じめん,通常生態,なし,ヒメグマ・リングマ・ガチグマ,外来生態レイヤーへ追加,T501,501ばんどうろ／すいどう,草むらオーバーレイ,Lv.2～5,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K04,4ばんどうろ,草むらオーバーレイ,Lv.72～77,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
111,218,マグマッグ → マグカルゴ,マグマッグ,2,いわ／ほのお,通常生態,なし,マグマッグ・マグカルゴ,外来生態レイヤーへ追加,T028,ひのしま,いわくだき／DexNav,Lv.30～40／殿堂入り後Lv.55～70,通常0%／DexNav 2～5%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K21,21ばんどうろ,草むらオーバーレイ,Lv.89～94,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
112,220,ウリムー → イノムー → マンムー,ウリムー,2,じめん／こおり,通常生態,ウリムー・イノムー・マンムー,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K38,ふたごじま,洞窟・屋内オーバーレイ,Lv.88～96,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
113,222,サニーゴ → サニゴーン,サニーゴ,2,いわ／ゴースト／みず,通常生態,なし,サニーゴ・サニゴーン,外来生態レイヤーへ追加,T509,509ばんどうろ／すいどう,釣りオーバーレイ,Lv.21～27,追加抽選6～10%,T-E04完了＋いいつりざお,K21,21ばんどうろ,釣りオーバーレイ,Lv.89～94,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
114,223,テッポウオ → オクタン,テッポウオ,2,みず,通常生態,テッポウオ・オクタン,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K15,15ばんどうろ,水上オーバーレイ,Lv.85～90,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
115,225,デリバード,デリバード,2,ひこう／こおり,通常生態,デリバード,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K20,20ばんどうろ,草むらオーバーレイ,Lv.88～93,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
117,227,エアームド,エアームド,2,ひこう／はがね,通常生態,エアームド,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K11,11ばんどうろ,草むらオーバーレイ,Lv.76～82,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
118,228,デルビル → ヘルガー,デルビル,2,ほのお／あく,通常生態,デルビル・ヘルガー,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K39,ポケモンやしき,夜間オーバーレイ,Lv.91～98,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
119,231,ゴマゾウ → ドンファン,ゴマゾウ,2,じめん,通常生態,なし,ゴマゾウ・ドンファン,外来生態レイヤーへ追加,T031,ユキユキやま,いわくだき／DexNav,Lv.36～46／殿堂入り後Lv.58～72,通常0%／DexNav 2～5%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K30,イワヤマトンネル,いわくだき／DexNav,Lv.80～87,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
120,234,オドシシ → アヤシシ,オドシシ,2,ノーマル／エスパー,通常生態,なし,オドシシ・アヤシシ,外来生態レイヤーへ追加,T506,506ばんどうろ／すいどう,草むらオーバーレイ,Lv.12～17,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K16,16ばんどうろ,草むらオーバーレイ,Lv.81～86,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
121,235,ドーブル,ドーブル,2,ノーマル,通常生態,なし,ドーブル,外来生態レイヤーへ追加,T506,506ばんどうろ／すいどう,草むらオーバーレイ,Lv.12～17,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K18,18ばんどうろ,草むらオーバーレイ,Lv.84～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
47,236,バルキー → サワムラー → エビワラー → カポエラー,バルキー,1,かくとう,ベビィ含有,サワムラー・エビワラー・バルキー・カポエラー,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K10,10ばんどうろ,DexNav隠し枠／低確率タマゴ,Lv.78～84,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
59,238,ムチュール → ルージュラ,ムチュール,1,エスパー／こおり,ベビィ含有,ルージュラ・ムチュール,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K38,ふたごじま,DexNav隠し枠／低確率タマゴ,Lv.88～96,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
60,239,エレキッド → エレブー → エレキブル,エレキッド,1,でんき,ベビィ含有,エレブー・エレキッド・エレキブル,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K40,むじんはつでんしょ,DexNav隠し枠／低確率タマゴ,Lv.82～94,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
61,240,ブビィ → ブーバー → ブーバーン,ブビィ,1,ほのお,ベビィ含有,ブーバー・ブビィ・ブーバーン,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K39,ポケモンやしき,DexNav隠し枠／低確率タマゴ,Lv.91～98,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
122,241,ミルタンク,ミルタンク,2,ノーマル,通常生態,ミルタンク,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K05,5ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
123,243,ライコウ,ライコウ,2,でんき,伝説,ライコウ,なし,ベガ既存特殊個体を保持＋他地方共鳴,EVENT_T,ベガ既存地点,ベガ既存入手法＋捕獲救済,Lv.70,原則1体・撃破時復活,既存条件,EVENT_K,カントー共鳴碑／研究記録,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,既存条件＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P0
124,244,エンテイ,エンテイ,2,ほのお,伝説,エンテイ,なし,ベガ既存特殊個体を保持＋他地方共鳴,EVENT_T,ベガ既存地点,ベガ既存入手法＋捕獲救済,Lv.70,原則1体・撃破時復活,既存条件,EVENT_K,カントー共鳴碑／研究記録,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,既存条件＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P0
125,245,スイクン,スイクン,2,みず,伝説,スイクン,なし,ベガ既存特殊個体を保持＋他地方共鳴,EVENT_T,ベガ既存地点,ベガ既存入手法＋捕獲救済,Lv.70,原則1体・撃破時復活,既存条件,EVENT_K,カントー共鳴碑／研究記録,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,既存条件＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P0
126,246,ヨーギラス → サナギラス → バンギラス,ヨーギラス,2,じめん／いわ／あく,600族,ヨーギラス・サナギラス・バンギラス,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K42,チャンピオンロード,DexNav隠し枠,Lv.94～100,通常0%／DexNav 1～2%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
127,249,ルギア,ルギア,2,ひこう／エスパー,伝説,ルギア,なし,ベガ既存特殊個体を保持＋他地方共鳴,EVENT_T,ベガ既存地点,ベガ既存入手法＋捕獲救済,Lv.70,原則1体・撃破時復活,既存条件,EVENT_K,カントー共鳴碑／研究記録,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,既存条件＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P0
128,250,ホウオウ,ホウオウ,2,ひこう／ほのお,伝説,ホウオウ,なし,ベガ既存特殊個体を保持＋他地方共鳴,EVENT_T,ベガ既存地点,ベガ既存入手法＋捕獲救済,Lv.70,原則1体・撃破時復活,既存条件,EVENT_K,カントー共鳴碑／研究記録,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,既存条件＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P0
129,251,セレビィ,セレビィ,2,くさ／エスパー,幻,なし,セレビィ,固定イベント追加,EVENT_T,ときのようかん中庭,固定シンボル／専用クエスト,Lv.80,原則1体・撃破時復活,殿堂入り＋ときのかけら3個,EVENT_K,トキワのもり・古木,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,殿堂入り＋ときのかけら3個＋主地方の捕獲フラグ共有,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,野生通常表には入れない,P2
130,252,キモリ → ジュプトル → ジュカイン,キモリ,3,くさ,御三家,なし,キモリ・ジュプトル・ジュカイン,地方研究タマゴ追加,T_LAB,ハクジタウン・ヒイラギ研究所,地域別研究依頼の報酬タマゴ,Lv.5,研究チケット1枚／系統選択・反復可,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,K47,マサラタウン・オーキド研究所,オーキド研究所の生態交換タマゴ,Lv.5,カントー認定章2個ごとに1系統、最終的に全系統反復可,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,御三家を野生化せず、両地方の研究所を巡る収集導線にする。,通常野生表には入れない,P2
131,255,アチャモ → ワカシャモ → バシャーモ,アチャモ,3,かくとう／ほのお,御三家,なし,アチャモ・ワカシャモ・バシャーモ,地方研究タマゴ追加,T_LAB,ハクジタウン・ヒイラギ研究所,地域別研究依頼の報酬タマゴ,Lv.5,研究チケット1枚／系統選択・反復可,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,K47,マサラタウン・オーキド研究所,オーキド研究所の生態交換タマゴ,Lv.5,カントー認定章2個ごとに1系統、最終的に全系統反復可,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,御三家を野生化せず、両地方の研究所を巡る収集導線にする。,通常野生表には入れない,P2
132,258,ミズゴロウ → ヌマクロー → ラグラージ,ミズゴロウ,3,じめん／みず,御三家,なし,ミズゴロウ・ヌマクロー・ラグラージ,地方研究タマゴ追加,T_LAB,ハクジタウン・ヒイラギ研究所,地域別研究依頼の報酬タマゴ,Lv.5,研究チケット1枚／系統選択・反復可,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,K47,マサラタウン・オーキド研究所,オーキド研究所の生態交換タマゴ,Lv.5,カントー認定章2個ごとに1系統、最終的に全系統反復可,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,御三家を野生化せず、両地方の研究所を巡る収集導線にする。,通常野生表には入れない,P2
133,261,ポチエナ → グラエナ,ポチエナ,3,あく,通常生態,なし,ポチエナ・グラエナ,外来生態レイヤーへ追加,T035,D・Hだんアジト,夜間オーバーレイ,Lv.44～57／殿堂入り後Lv.65～80,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K08,8ばんどうろ,夜間オーバーレイ,Lv.79～84,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
134,263,ジグザグマ → マッスグマ → タチフサグマ,ジグザグマ,3,ノーマル／あく,通常生態,なし,ジグザグマ・マッスグマ・タチフサグマ,外来生態レイヤーへ追加,T506,506ばんどうろ／すいどう,夜間オーバーレイ,Lv.12～17,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K16,16ばんどうろ,夜間オーバーレイ,Lv.81～86,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
