evolution_id,from_national_no,from_name,to_national_no,to_name,official_condition,vega_integrated_condition,requires_new_item_or_counter,implementation_note
130,252,キモリ,253,ジュプトル,レベルアップ＋Lv.16以上,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
131,253,ジュプトル,254,ジュカイン,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
132,255,アチャモ,256,ワカシャモ,レベルアップ＋Lv.16以上,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
133,256,ワカシャモ,257,バシャーモ,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
134,258,ミズゴロウ,259,ヌマクロー,レベルアップ＋Lv.16以上,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
135,259,ヌマクロー,260,ラグラージ,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
136,261,ポチエナ,262,グラエナ,レベルアップ＋Lv.18以上,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
137,263,ジグザグマ,264,マッスグマ,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
138,265,ケムッソ,266,カラサリス,レベルアップ＋Lv.7以上,レベルアップ＋Lv.7以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
139,266,カラサリス,267,アゲハント,レベルアップ＋Lv.10以上,レベルアップ＋Lv.10以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
140,265,ケムッソ,268,マユルド,レベルアップ＋Lv.7以上,レベルアップ＋Lv.7以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
141,268,マユルド,269,ドクケイル,レベルアップ＋Lv.10以上,レベルアップ＋Lv.10以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
142,270,ハスボー,271,ハスブレロ,レベルアップ＋Lv.14以上,レベルアップ＋Lv.14以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
143,271,ハスブレロ,272,ルンパッパ,道具使用＋みずのいしを使う,道具使用＋みずのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
144,273,タネボー,274,コノハナ,レベルアップ＋Lv.14以上,レベルアップ＋Lv.14以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
145,274,コノハナ,275,ダーテング,道具使用＋リーフのいしを使う,道具使用＋リーフのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
146,276,スバメ,277,オオスバメ,レベルアップ＋Lv.22以上,レベルアップ＋Lv.22以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
147,278,キャモメ,279,ペリッパー,レベルアップ＋Lv.25以上,レベルアップ＋Lv.25以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
148,280,ラルトス,281,キルリア,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
149,281,キルリア,282,サーナイト,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
150,283,アメタマ,284,アメモース,レベルアップ＋Lv.22以上,レベルアップ＋Lv.22以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
151,285,キノココ,286,キノガッサ,レベルアップ＋Lv.23以上,レベルアップ＋Lv.23以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
152,287,ナマケロ,288,ヤルキモノ,レベルアップ＋Lv.18以上,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
153,288,ヤルキモノ,289,ケッキング,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
154,290,ツチニン,291,テッカニン,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
155,290,ツチニン,292,ヌケニン,特殊分裂,特殊分裂（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,はい,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
156,293,ゴニョニョ,294,ドゴーム,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
157,294,ドゴーム,295,バクオング,レベルアップ＋Lv.40以上,レベルアップ＋Lv.40以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
158,296,マクノシタ,297,ハリテヤマ,レベルアップ＋Lv.24以上,レベルアップ＋Lv.24以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
159,300,エネコ,301,エネコロロ,道具使用＋つきのいしを使う,道具使用＋つきのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
160,304,ココドラ,305,コドラ,レベルアップ＋Lv.32以上,レベルアップ＋Lv.32以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
161,305,コドラ,306,ボスゴドラ,レベルアップ＋Lv.42以上,レベルアップ＋Lv.42以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
162,307,アサナン,308,チャーレム,レベルアップ＋Lv.37以上,レベルアップ＋Lv.37以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
163,309,ラクライ,310,ライボルト,レベルアップ＋Lv.26以上,レベルアップ＋Lv.26以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
164,406,スボミー,315,ロゼリア,レベルアップ＋昼＋なつき度160以上,レベルアップ＋昼＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
165,316,ゴクリン,317,マルノーム,レベルアップ＋Lv.26以上,レベルアップ＋Lv.26以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
166,318,キバニア,319,サメハダー,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
167,320,ホエルコ,321,ホエルオー,レベルアップ＋Lv.40以上,レベルアップ＋Lv.40以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
168,322,ドンメル,323,バクーダ,レベルアップ＋Lv.33以上,レベルアップ＋Lv.33以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
169,325,バネブー,326,ブーピッグ,レベルアップ＋Lv.32以上,レベルアップ＋Lv.32以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
170,328,ナックラー,329,ビブラーバ,レベルアップ＋Lv.35以上,レベルアップ＋Lv.35以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
171,329,ビブラーバ,330,フライゴン,レベルアップ＋Lv.45以上,レベルアップ＋Lv.45以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
172,331,サボネア,332,ノクタス,レベルアップ＋Lv.32以上,レベルアップ＋Lv.32以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
173,333,チルット,334,チルタリス,レベルアップ＋Lv.35以上,レベルアップ＋Lv.35以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
174,339,ドジョッチ,340,ナマズン,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
175,341,ヘイガニ,342,シザリガー,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
176,343,ヤジロン,344,ネンドール,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
177,345,リリーラ,346,ユレイドル,レベルアップ＋Lv.40以上,レベルアップ＋Lv.40以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
178,347,アノプス,348,アーマルド,レベルアップ＋Lv.40以上,レベルアップ＋Lv.40以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
179,349,ヒンバス,350,ミロカロス,レベルアップ＋うつくしさ170以上,うつくしさはコンディション非依存にし、きれいなウロコ使用。,いいえ,DPE拡張系統内で接続
180,353,カゲボウズ,354,ジュペッタ,レベルアップ＋Lv.37以上,レベルアップ＋Lv.37以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
181,355,ヨマワル,356,サマヨール,レベルアップ＋Lv.37以上,レベルアップ＋Lv.37以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
182,433,リーシャン,358,チリーン,レベルアップ＋夜＋なつき度220以上,レベルアップ＋夜＋なつき度220以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
183,361,ユキワラシ,362,オニゴーリ,レベルアップ＋Lv.42以上,レベルアップ＋Lv.42以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
184,363,タマザラシ,364,トドグラー,レベルアップ＋Lv.32以上,レベルアップ＋Lv.32以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
185,364,トドグラー,365,トドゼルガ,レベルアップ＋Lv.44以上,レベルアップ＋Lv.44以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
186,366,パールル,367,ハンテール,通信交換＋しんかいのキバを持たせる,しんかいのキバを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,はい,DPE拡張系統内で接続
187,366,パールル,368,サクラビス,通信交換＋しんかいのウロコを持たせる,しんかいのウロコを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,はい,DPE拡張系統内で接続
188,371,タツベイ,372,コモルー,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
189,372,コモルー,373,ボーマンダ,レベルアップ＋Lv.50以上,レベルアップ＋Lv.50以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
190,374,ダンバル,375,メタング,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
191,375,メタング,376,メタグロス,レベルアップ＋Lv.45以上,レベルアップ＋Lv.45以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
192,387,ナエトル,388,ハヤシガメ,レベルアップ＋Lv.18以上,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
193,388,ハヤシガメ,389,ドダイトス,レベルアップ＋Lv.32以上,レベルアップ＋Lv.32以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
194,390,ヒコザル,391,モウカザル,レベルアップ＋Lv.14以上,レベルアップ＋Lv.14以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
195,391,モウカザル,392,ゴウカザル,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
196,393,ポッチャマ,394,ポッタイシ,レベルアップ＋Lv.16以上,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
197,394,ポッタイシ,395,エンペルト,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
198,396,ムックル,397,ムクバード,レベルアップ＋Lv.14以上,レベルアップ＋Lv.14以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
199,397,ムクバード,398,ムクホーク,レベルアップ＋Lv.34以上,レベルアップ＋Lv.34以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
200,399,ビッパ,400,ビーダル,レベルアップ＋Lv.15以上,レベルアップ＋Lv.15以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
201,401,コロボーシ,402,コロトック,レベルアップ＋Lv.10以上,レベルアップ＋Lv.10以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
202,403,コリンク,404,ルクシオ,レベルアップ＋Lv.15以上,レベルアップ＋Lv.15以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
203,404,ルクシオ,405,レントラー,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
204,315,ロゼリア,407,ロズレイド,道具使用＋ひかりのいしを使う,道具使用＋ひかりのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
205,408,ズガイドス,409,ラムパルド,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
206,410,タテトプス,411,トリデプス,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
207,412,ミノムッチ,413,ミノマダム,レベルアップ＋Lv.20以上＋♀,レベルアップ＋Lv.20以上＋♀（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
208,412,ミノムッチ,414,ガーメイル,レベルアップ＋Lv.20以上＋♂,レベルアップ＋Lv.20以上＋♂（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
209,415,ミツハニー,416,ビークイン,レベルアップ＋Lv.21以上＋♀,レベルアップ＋Lv.21以上＋♀（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
210,418,ブイゼル,419,フローゼル,レベルアップ＋Lv.26以上,レベルアップ＋Lv.26以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
211,420,チェリンボ,421,チェリム,レベルアップ＋Lv.25以上,レベルアップ＋Lv.25以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
212,422,カラナクシ,423,トリトドン,レベルアップ＋Lv.30以上,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
213,190,エイパム,424,エテボース,レベルアップ＋ダブルアタックを覚えている,レベルアップ＋ダブルアタックを覚えている（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
214,425,フワンテ,426,フワライド,レベルアップ＋Lv.28以上,レベルアップ＋Lv.28以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
215,427,ミミロル,428,ミミロップ,レベルアップ＋なつき度160以上,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
216,200,ムウマ,429,ムウマージ,道具使用＋やみのいしを使う,道具使用＋やみのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
217,198,ヤミカラス,430,ドンカラス,道具使用＋やみのいしを使う,道具使用＋やみのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
218,431,ニャルマー,432,ブニャット,レベルアップ＋Lv.38以上,レベルアップ＋Lv.38以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
219,434,スカンプー,435,スカタンク,レベルアップ＋Lv.34以上,レベルアップ＋Lv.34以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
220,436,ドーミラー,437,ドータクン,レベルアップ＋Lv.33以上,レベルアップ＋Lv.33以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
221,443,フカマル,444,ガバイト,レベルアップ＋Lv.24以上,レベルアップ＋Lv.24以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
222,444,ガバイト,445,ガブリアス,レベルアップ＋Lv.48以上,レベルアップ＋Lv.48以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
223,447,リオル,448,ルカリオ,レベルアップ＋昼＋なつき度160以上,レベルアップ＋昼＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
224,449,ヒポポタス,450,カバルドン,レベルアップ＋Lv.34以上,レベルアップ＋Lv.34以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
225,451,スコルピ,452,ドラピオン,レベルアップ＋Lv.40以上,レベルアップ＋Lv.40以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
226,453,グレッグル,454,ドクロッグ,レベルアップ＋Lv.37以上,レベルアップ＋Lv.37以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
227,456,ケイコウオ,457,ネオラント,レベルアップ＋Lv.31以上,レベルアップ＋Lv.31以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
228,459,ユキカブリ,460,ユキノオー,レベルアップ＋Lv.40以上,レベルアップ＋Lv.40以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
229,215,ニューラ,461,マニューラ,レベルアップ＋するどいツメを持たせる＋夜,レベルアップ＋するどいツメを持たせる＋夜（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
230,82,レアコイル,462,ジバコイル,レベルアップ＋指定場所ID 10,「じばのコア」を持たせてレベルアップ。かみなりのしま／D・H炉心でも可。,はい,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
231,108,ベロリンガ,463,ベロベルト,レベルアップ＋ころがるを覚えている,レベルアップ＋ころがるを覚えている（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
232,112,サイドン,464,ドサイドン,通信交換＋プロテクターを持たせる,プロテクターを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,はい,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
233,114,モンジャラ,465,モジャンボ,レベルアップ＋げんしのちからを覚えている,レベルアップ＋げんしのちからを覚えている（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
234,125,エレブー,466,エレキブル,通信交換＋エレキブースターを持たせる,エレキブースターを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,はい,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
235,126,ブーバー,467,ブーバーン,通信交換＋マグマブースターを持たせる,マグマブースターを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,はい,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
236,176,トゲチック,468,トゲキッス,道具使用＋ひかりのいしを使う,道具使用＋ひかりのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
237,193,ヤンヤンマ,469,メガヤンマ,レベルアップ＋げんしのちからを覚えている,レベルアップ＋げんしのちからを覚えている（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
238,133,イーブイ,470,リーフィア,レベルアップ＋指定場所ID 8＋特殊な岩の近く,「コケのコア」を持たせて昼にレベルアップ。ハクジのもりでも可。,はい,DPE拡張系統内で接続
239,133,イーブイ,471,グレイシア,レベルアップ＋指定場所ID 48＋特殊な岩の近く,「こおりのコア」を持たせて夜にレベルアップ。こおりのしまでも可。,はい,DPE拡張系統内で接続
240,207,グライガー,472,グライオン,レベルアップ＋するどいキバを持たせる＋夜,レベルアップ＋するどいキバを持たせる＋夜（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
241,221,イノムー,473,マンムー,レベルアップ＋げんしのちからを覚えている,レベルアップ＋げんしのちからを覚えている（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
242,233,ポリゴン２,474,ポリゴンＺ,通信交換＋あやしいパッチを持たせる,あやしいパッチを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,はい,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
243,281,キルリア,475,エルレイド,道具使用＋めざめいしを使う＋♂,道具使用＋めざめいしを使う＋♂（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
244,299,ノズパス,476,ダイノーズ,レベルアップ＋指定場所ID 10,「じばのコア」を持たせてレベルアップ。かみなりのしま／D・H炉心でも可。,はい,DPE拡張系統内で接続
245,356,サマヨール,477,ヨノワール,通信交換＋れいかいのぬのを持たせる,れいかいのぬのを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,はい,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
246,361,ユキワラシ,478,ユキメノコ,道具使用＋めざめいしを使う＋♀,道具使用＋めざめいしを使う＋♀（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
247,495,ツタージャ,496,ジャノビー,レベルアップ＋Lv.17以上,レベルアップ＋Lv.17以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
248,496,ジャノビー,497,ジャローダ,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
249,498,ポカブ,499,チャオブー,レベルアップ＋Lv.17以上,レベルアップ＋Lv.17以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
250,499,チャオブー,500,エンブオー,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
251,501,ミジュマル,502,フタチマル,レベルアップ＋Lv.17以上,レベルアップ＋Lv.17以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
252,502,フタチマル,503,ダイケンキ,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
253,504,ミネズミ,505,ミルホッグ,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
254,506,ヨーテリー,507,ハーデリア,レベルアップ＋Lv.16以上,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
255,507,ハーデリア,508,ムーランド,レベルアップ＋Lv.32以上,レベルアップ＋Lv.32以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
256,509,チョロネコ,510,レパルダス,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
257,511,ヤナップ,512,ヤナッキー,道具使用＋リーフのいしを使う,道具使用＋リーフのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
258,513,バオップ,514,バオッキー,道具使用＋ほのおのいしを使う,道具使用＋ほのおのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
259,515,ヒヤップ,516,ヒヤッキー,道具使用＋みずのいしを使う,道具使用＋みずのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
260,517,ムンナ,518,ムシャーナ,道具使用＋つきのいしを使う,道具使用＋つきのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
