national_no,name,identifier,generation,types,evolution_chain_id,family_category,is_legendary,is_mythical,vega_status,integration_action,earliest_gate,primary_area,acquisition_method,encounter_rate_or_limit,conditions,dex_policy,id_policy
148,ハクリュー,dragonair,1,ドラゴン,76,600族,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,521～523ばんどうろ,進化,―,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0148（新規16bit ID）
149,カイリュー,dragonite,1,ドラゴン／ひこう,76,600族,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,521～523ばんどうろ,進化,―,レベルアップ＋Lv.55以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0149（新規16bit ID）
150,ミュウツー,mewtwo,1,エスパー,77,伝説,yes,no,既存（トーホク図鑑150）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.150。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_150（実ROMから確定）
151,ミュウ,mew,1,エスパー,78,幻,no,yes,既存（トーホク図鑑151）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.151。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_151（実ROMから確定）
152,チコリータ,chikorita,2,くさ,79,御三家,no,no,未収録・追加対象,新IDへ追加,殿堂入り＋全国研究開始,ハクジタウン研究所,地方研究依頼の報酬タマゴ,―,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0152（新規16bit ID）
153,ベイリーフ,bayleef,2,くさ,79,御三家,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り＋全国研究開始,ハクジタウン研究所,進化,―,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0153（新規16bit ID）
154,メガニウム,meganium,2,くさ,79,御三家,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り＋全国研究開始,ハクジタウン研究所,進化,―,レベルアップ＋Lv.32以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0154（新規16bit ID）
155,ヒノアラシ,cyndaquil,2,ほのお,80,御三家,no,no,未収録・追加対象,新IDへ追加,殿堂入り＋全国研究開始,ハクジタウン研究所,地方研究依頼の報酬タマゴ,―,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0155（新規16bit ID）
156,マグマラシ,quilava,2,ほのお,80,御三家,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り＋全国研究開始,ハクジタウン研究所,進化,―,レベルアップ＋Lv.14以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0156（新規16bit ID）
157,バクフーン,typhlosion,2,ほのお,80,御三家,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り＋全国研究開始,ハクジタウン研究所,進化,―,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0157（新規16bit ID）
158,ワニノコ,totodile,2,みず,81,御三家,no,no,未収録・追加対象,新IDへ追加,殿堂入り＋全国研究開始,ハクジタウン研究所,地方研究依頼の報酬タマゴ,―,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0158（新規16bit ID）
159,アリゲイツ,croconaw,2,みず,81,御三家,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り＋全国研究開始,ハクジタウン研究所,進化,―,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0159（新規16bit ID）
160,オーダイル,feraligatr,2,みず,81,御三家,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り＋全国研究開始,ハクジタウン研究所,進化,―,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0160（新規16bit ID）
161,オタチ,sentret,2,ノーマル,82,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,504～506ばんどうろ,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0161（新規16bit ID）
162,オオタチ,furret,2,ノーマル,82,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,504～506ばんどうろ,進化,―,レベルアップ＋Lv.15以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0162（新規16bit ID）
163,ホーホー,hoothoot,2,ノーマル／ひこう,83,通常生態,no,no,既存（トーホク図鑑109）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.109。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_109（実ROMから確定）
164,ヨルノズク,noctowl,2,ノーマル／ひこう,83,通常生態,no,no,既存（トーホク図鑑110）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.110。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_110（実ROMから確定）
165,レディバ,ledyba,2,むし／ひこう,84,通常生態,no,no,既存（トーホク図鑑198）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.198。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_198（実ROMから確定）
166,レディアン,ledian,2,むし／ひこう,84,通常生態,no,no,既存（トーホク図鑑199）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.199。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_199（実ROMから確定）
167,イトマル,spinarak,2,むし／どく,85,通常生態,no,no,既存（トーホク図鑑272）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.272。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_272（実ROMから確定）
168,アリアドス,ariados,2,むし／どく,85,通常生態,no,no,既存（トーホク図鑑273）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.273。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_273（実ROMから確定）
169,クロバット,crobat,2,どく／ひこう,17,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,全国生態保護区（サファリ増設区画）,進化,―,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0169（新規16bit ID）
170,チョンチー,chinchou,2,みず／でんき,86,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン北,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0170（新規16bit ID）
171,ランターン,lanturn,2,みず／でんき,86,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン北,進化,―,レベルアップ＋Lv.27以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0171（新規16bit ID）
172,ピチュー,pichu,2,でんき,10,ベビィ含有,no,no,既存（トーホク図鑑024）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.024。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_024（実ROMから確定）
173,ピィ,cleffa,2,フェアリー,14,ベビィ含有,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ときのようかん,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0173（新規16bit ID）
174,ププリン,igglybuff,2,ノーマル／フェアリー,16,ベビィ含有,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ニューアイランド,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0174（新規16bit ID）
175,トゲピー,togepi,2,フェアリー,87,ベビィ含有,no,no,既存（トーホク図鑑018）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.018。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_018（実ROMから確定）
176,トゲチック,togetic,2,フェアリー／ひこう,87,ベビィ含有,no,no,既存（トーホク図鑑019）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.019。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_019（実ROMから確定）
177,ネイティ,natu,2,エスパー／ひこう,88,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0177（新規16bit ID）
178,ネイティオ,xatu,2,エスパー／ひこう,88,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,全国生態保護区（サファリ増設区画）,進化,―,レベルアップ＋Lv.25以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0178（新規16bit ID）
179,メリープ,mareep,2,でんき,89,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,D・Hビル／D・Hだんアジト,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0179（新規16bit ID）
180,モココ,flaaffy,2,でんき,89,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,D・Hビル／D・Hだんアジト,進化,―,レベルアップ＋Lv.15以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0180（新規16bit ID）
181,デンリュウ,ampharos,2,でんき,89,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,D・Hビル／D・Hだんアジト,進化,―,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0181（新規16bit ID）
182,キレイハナ,bellossom,2,くさ,18,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン東,進化,―,道具使用＋たいようのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0182（新規16bit ID）
183,マリル,marill,2,みず／フェアリー,90,ベビィ含有,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,シオウ近海,進化,―,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0183（新規16bit ID）
184,マリルリ,azumarill,2,みず／フェアリー,90,ベビィ含有,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,シオウ近海,進化,―,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0184（新規16bit ID）
185,ウソッキー,sudowoodo,2,いわ,91,ベビィ含有,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン西,進化,―,レベルアップ＋ものまねを覚えている（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0185（新規16bit ID）
186,ニョロトノ,politoed,2,みず,26,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,こおりのしま,進化,―,おうじゃのしるしを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0186（新規16bit ID）
187,ハネッコ,hoppip,2,くさ／ひこう,92,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,521～523ばんどうろ,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0187（新規16bit ID）
188,ポポッコ,skiploom,2,くさ／ひこう,92,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,521～523ばんどうろ,進化,―,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0188（新規16bit ID）
189,ワタッコ,jumpluff,2,くさ／ひこう,92,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,521～523ばんどうろ,進化,―,レベルアップ＋Lv.27以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0189（新規16bit ID）
190,エイパム,aipom,2,ノーマル,93,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,501ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0190（新規16bit ID）
191,ヒマナッツ,sunkern,2,くさ,94,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ハクジのもり,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0191（新規16bit ID）
192,キマワリ,sunflora,2,くさ,94,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ハクジのもり,進化,―,道具使用＋たいようのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0192（新規16bit ID）
193,ヤンヤンマ,yanma,2,むし／ひこう,95,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,502ばんどうろ,ずつき,4～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0193（新規16bit ID）
194,ウパー,wooper,2,みず／じめん,96,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,507～509ばんどうろ・水道,水上,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0194（新規16bit ID）
195,ヌオー,quagsire,2,みず／じめん,96,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,507～509ばんどうろ・水道,進化,―,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0195（新規16bit ID）
196,エーフィ,espeon,2,エスパー,67,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,全国生態保護区（サファリ増設区画）,進化,―,レベルアップ＋昼＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0196（新規16bit ID）
197,ブラッキー,umbreon,2,あく,67,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,全国生態保護区（サファリ増設区画）,進化,―,レベルアップ＋夜＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0197（新規16bit ID）
198,ヤミカラス,murkrow,2,あく／ひこう,97,通常生態,no,no,既存（トーホク図鑑226）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.226。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_226（実ROMから確定）
199,ヤドキング,slowking,2,みず／エスパー,33,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,507～509ばんどうろ・水道,進化,―,おうじゃのしるしを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0199（新規16bit ID）
200,ムウマ,misdreavus,2,ゴースト,98,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,こころのやかた,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0200（新規16bit ID）
201,アンノーン,unown,2,エスパー,99,通常生態,no,no,既存（トーホク図鑑201）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.201。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_201（実ROMから確定）
202,ソーナンス,wobbuffet,2,エスパー,100,ベビィ含有,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,スフィアいせき,進化,―,レベルアップ＋Lv.15以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0202（新規16bit ID）
203,キリンリキ,girafarig,2,ノーマル／エスパー,101,通常生態,no,no,既存（トーホク図鑑054）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.054。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_054（実ROMから確定）
204,クヌギダマ,pineco,2,むし,102,通常生態,no,no,既存（トーホク図鑑039）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.039。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_039（実ROMから確定）
205,フォレトス,forretress,2,むし／はがね,102,通常生態,no,no,既存（トーホク図鑑040）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.040。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_040（実ROMから確定）
206,ノコッチ,dunsparce,2,ノーマル,103,通常生態,no,no,既存（トーホク図鑑363）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.363。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_363（実ROMから確定）
207,グライガー,gligar,2,じめん／ひこう,104,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0207（新規16bit ID）
208,ハガネール,steelix,2,はがね／じめん,41,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,チャンピオンロード,進化,―,メタルコートを持たせて「つながりのヒモ」を使用。NPC交換でも進化可。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0208（新規16bit ID）
209,ブルー,snubbull,2,フェアリー,105,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ニューアイランド,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0209（新規16bit ID）
210,グランブル,granbull,2,フェアリー,105,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ニューアイランド,進化,―,レベルアップ＋Lv.23以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0210（新規16bit ID）
211,ハリーセン,qwilfish,2,みず／どく,106,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,507～509ばんどうろ・水道,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0211（新規16bit ID）
212,ハッサム,scizor,2,むし／はがね,58,通常生態,no,no,既存（トーホク図鑑258）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.258。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_258（実ROMから確定）
213,ツボツボ,shuckle,2,むし／いわ,107,通常生態,no,no,既存（トーホク図鑑093）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.093。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_093（実ROMから確定）
214,ヘラクロス,heracross,2,むし／かくとう,108,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン東,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0214（新規16bit ID）
215,ニューラ,sneasel,2,あく／こおり,109,通常生態,no,no,既存（トーホク図鑑247）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.247。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_247（実ROMから確定）
216,ヒメグマ,teddiursa,2,ノーマル,110,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,チャンピオンロード,洞窟オーバーレイ,4～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0216（新規16bit ID）
217,リングマ,ursaring,2,ノーマル,110,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,チャンピオンロード,進化,―,レベルアップ＋Lv.30以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0217（新規16bit ID）
218,マグマッグ,slugma,2,ほのお,111,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン西,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0218（新規16bit ID）
219,マグカルゴ,magcargo,2,ほのお／いわ,111,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン西,進化,―,レベルアップ＋Lv.38以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0219（新規16bit ID）
220,ウリムー,swinub,2,こおり／じめん,112,通常生態,no,no,既存（トーホク図鑑323）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.323。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_323（実ROMから確定）
221,イノムー,piloswine,2,こおり／じめん,112,通常生態,no,no,既存（トーホク図鑑324）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.324。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_324（実ROMから確定）
222,サニーゴ,corsola,2,みず／いわ,113,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン北,水上,4～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0222（新規16bit ID）
223,テッポウオ,remoraid,2,みず,114,通常生態,no,no,既存（トーホク図鑑210）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.210。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_210（実ROMから確定）
224,オクタン,octillery,2,みず,114,通常生態,no,no,既存（トーホク図鑑211）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.211。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_211（実ROMから確定）
