evolution_chain_id,root_national_no,family,generation_first,types,category,vega_existing_members,new_members_to_import,integration_mode,earliest_gate,primary_area,primary_method,suggested_rate,condition_design,table_policy,implementation_priority
131,255,アチャモ → ワカシャモ → バシャーモ,3,かくとう／ほのお,御三家,なし,アチャモ・ワカシャモ・バシャーモ,地方研究タマゴ追加,殿堂入り＋全国研究開始,ハクジタウン研究所,地方研究依頼の報酬タマゴ,―,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,通常野生表には入れない,P2
132,258,ミズゴロウ → ヌマクロー → ラグラージ,3,じめん／みず,御三家,なし,ミズゴロウ・ヌマクロー・ラグラージ,地方研究タマゴ追加,殿堂入り＋全国研究開始,ハクジタウン研究所,地方研究依頼の報酬タマゴ,―,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,通常野生表には入れない,P2
133,261,ポチエナ → グラエナ,3,あく,通常生態,なし,ポチエナ・グラエナ,外来生態レイヤーへ追加,殿堂入り後,ダークタワー,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
134,263,ジグザグマ → マッスグマ → タチフサグマ,3,ノーマル／あく,通常生態,なし,ジグザグマ・マッスグマ・タチフサグマ,外来生態レイヤーへ追加,殿堂入り後,こころのやかた,夜間オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
135,265,ケムッソ → カラサリス → マユルド → アゲハント → ドクケイル,3,ひこう／どく／むし,通常生態,なし,ケムッソ・カラサリス・アゲハント・マユルド・ドクケイル,外来生態レイヤーへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
136,270,ハスボー → ハスブレロ → ルンパッパ,3,みず／くさ,通常生態,なし,ハスボー・ハスブレロ・ルンパッパ,外来生態レイヤーへ追加,殿堂入り後,507～509ばんどうろ・水道,水上,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
137,273,タネボー → コノハナ → ダーテング,3,くさ／あく,通常生態,なし,タネボー・コノハナ・ダーテング,外来生態レイヤーへ追加,殿堂入り後,ダークタワー,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
138,276,スバメ → オオスバメ,3,ノーマル／ひこう,通常生態,スバメ・オオスバメ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
139,278,キャモメ → ペリッパー,3,ひこう／みず,通常生態,なし,キャモメ・ペリッパー,外来生態レイヤーへ追加,殿堂入り後,シオウ近海,水上,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
140,280,ラルトス → キルリア → サーナイト → エルレイド,3,かくとう／エスパー／フェアリー,通常生態,ラルトス・キルリア・サーナイト・エルレイド,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
141,283,アメタマ → アメモース,3,ひこう／むし／みず,通常生態,なし,アメタマ・アメモース,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン北,水上,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
142,285,キノココ → キノガッサ,3,かくとう／くさ,通常生態,キノココ・キノガッサ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
143,287,ナマケロ → ヤルキモノ → ケッキング,3,ノーマル,通常生態,なし,ナマケロ・ヤルキモノ・ケッキング,外来生態レイヤーへ追加,殿堂入り後,504～506ばんどうろ,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
144,290,ツチニン → テッカニン → ヌケニン,3,ひこう／じめん／むし／ゴースト,人工・無機物,ツチニン・テッカニン・ヌケニン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
145,293,ゴニョニョ → ドゴーム → バクオング,3,ノーマル,通常生態,ゴニョニョ・ドゴーム・バクオング,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
146,296,マクノシタ → ハリテヤマ,3,かくとう,通常生態,なし,マクノシタ・ハリテヤマ,外来生態レイヤーへ追加,殿堂入り後,チャンピオンロード,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
147,299,ノズパス → ダイノーズ,3,いわ／はがね,通常生態,なし,ノズパス・ダイノーズ,外来生態レイヤーへ追加,殿堂入り後,ちえのどうくつ,洞窟オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
148,300,エネコ → エネコロロ,3,ノーマル,通常生態,なし,エネコ・エネコロロ,外来生態レイヤーへ追加,殿堂入り後,502ばんどうろ,時間帯オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
149,302,ヤミラミ,3,ゴースト／あく,通常生態,ヤミラミ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
150,303,クチート,3,はがね／フェアリー,通常生態,クチート,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
151,304,ココドラ → コドラ → ボスゴドラ,3,いわ／はがね,通常生態,なし,ココドラ・コドラ・ボスゴドラ,外来生態レイヤーへ追加,殿堂入り後,チャンピオンロード,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
152,307,アサナン → チャーレム,3,かくとう／エスパー,通常生態,なし,アサナン・チャーレム,外来生態レイヤーへ追加,殿堂入り後,スフィアいせき,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
153,309,ラクライ → ライボルト,3,でんき,通常生態,なし,ラクライ・ライボルト,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン中央,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
154,311,プラスル,3,でんき,通常生態,なし,プラスル,外来生態レイヤーへ追加,殿堂入り後,517～520ばんどうろ,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
155,312,マイナン,3,でんき,通常生態,なし,マイナン,外来生態レイヤーへ追加,殿堂入り後,かみなりのしま,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
156,313,バルビート,3,むし,通常生態,なし,バルビート,外来生態レイヤーへ追加,殿堂入り後,ハクジのもり,ずつき,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
157,314,イルミーゼ,3,むし,通常生態,なし,イルミーゼ,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン東,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
158,406,スボミー → ロゼリア → ロズレイド,3,どく／くさ,ベビィ含有,なし,ロゼリア・スボミー・ロズレイド,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン東,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
159,316,ゴクリン → マルノーム,3,どく,通常生態,なし,ゴクリン・マルノーム,外来生態レイヤーへ追加,殿堂入り後,503ばんどうろ,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
160,318,キバニア → サメハダー,3,みず／あく,通常生態,なし,キバニア・サメハダー,外来生態レイヤーへ追加,殿堂入り後,かいていトンネル,水上,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
161,320,ホエルコ → ホエルオー,3,みず,通常生態,なし,ホエルコ・ホエルオー,外来生態レイヤーへ追加,殿堂入り後,こおりのしま,水上,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
162,322,ドンメル → バクーダ,3,じめん／ほのお,通常生態,なし,ドンメル・バクーダ,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン西,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
163,324,コータス,3,ほのお,通常生態,コータス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
164,325,バネブー → ブーピッグ,3,エスパー,通常生態,なし,バネブー・ブーピッグ,外来生態レイヤーへ追加,殿堂入り後,ときのようかん,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
165,327,パッチール,3,ノーマル,通常生態,パッチール,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
166,328,ナックラー → ビブラーバ → フライゴン,3,じめん／ドラゴン,通常生態,なし,ナックラー・ビブラーバ・フライゴン,外来生態レイヤーへ追加,殿堂入り後,514～516ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
167,331,サボネア → ノクタス,3,くさ／あく,通常生態,サボネア・ノクタス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
168,333,チルット → チルタリス,3,ノーマル／ひこう／ドラゴン,通常生態,なし,チルット・チルタリス,外来生態レイヤーへ追加,殿堂入り後,521～523ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
169,335,ザングース,3,ノーマル,通常生態,なし,ザングース,外来生態レイヤーへ追加,殿堂入り後,504～506ばんどうろ,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
170,336,ハブネーク,3,どく,通常生態,なし,ハブネーク,外来生態レイヤーへ追加,殿堂入り後,503ばんどうろ,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
171,337,ルナトーン,3,いわ／エスパー,人工・無機物,ルナトーン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
172,338,ソルロック,3,いわ／エスパー,人工・無機物,ソルロック,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
173,339,ドジョッチ → ナマズン,3,じめん／みず,通常生態,なし,ドジョッチ・ナマズン,外来生態レイヤーへ追加,殿堂入り後,かいていトンネル,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
174,341,ヘイガニ → シザリガー,3,みず／あく,通常生態,なし,ヘイガニ・シザリガー,外来生態レイヤーへ追加,殿堂入り後,D・H異常生態区画（新規小部屋）,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
175,343,ヤジロン → ネンドール,3,じめん／エスパー,人工・無機物,なし,ヤジロン・ネンドール,外来生態レイヤーへ追加,殿堂入り後,D・H異常生態区画（新規小部屋）,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
176,345,リリーラ → ユレイドル,3,いわ／くさ,化石,リリーラ・ユレイドル,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
177,347,アノプス → アーマルド,3,いわ／むし,化石,なし,アノプス・アーマルド,化石復元追加,殿堂入り（一部化石はバッジ5個）,ヒスイシティ考古学室（NPC追加）,化石・復元部品を納品,―,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。,通常野生表には入れない,P2
178,349,ヒンバス → ミロカロス,3,みず,通常生態,なし,ヒンバス・ミロカロス,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン北,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
179,351,ポワルン,3,ノーマル,通常生態,なし,ポワルン,外来生態レイヤーへ追加,殿堂入り後,501ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
180,352,カクレオン,3,ノーマル,通常生態,なし,カクレオン,外来生態レイヤーへ追加,殿堂入り後,517～520ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
181,353,カゲボウズ → ジュペッタ,3,ゴースト,通常生態,カゲボウズ・ジュペッタ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
182,355,ヨマワル → サマヨール → ヨノワール,3,ゴースト,通常生態,ヨマワル・サマヨール・ヨノワール,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
183,357,トロピウス,3,ひこう／くさ,通常生態,トロピウス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
184,433,リーシャン → チリーン,3,エスパー,ベビィ含有,なし,チリーン・リーシャン,外来生態レイヤーへ追加,殿堂入り後,ときのようかん,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
185,359,アブソル,3,あく,通常生態,アブソル,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
186,361,ユキワラシ → オニゴーリ → ユキメノコ,3,ゴースト／こおり,通常生態,なし,ユキワラシ・オニゴーリ・ユキメノコ,外来生態レイヤーへ追加,殿堂入り後,ユキユキやま,夜間オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
187,363,タマザラシ → トドグラー → トドゼルガ,3,みず／こおり,通常生態,タマザラシ・トドグラー・トドゼルガ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
188,366,パールル → ハンテール → サクラビス,3,みず,通常生態,なし,パールル・ハンテール・サクラビス,外来生態レイヤーへ追加,殿堂入り後,シオウ近海,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
189,369,ジーランス,3,いわ／みず,通常生態,ジーランス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
190,370,ラブカス,3,みず,通常生態,ラブカス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
191,371,タツベイ → コモルー → ボーマンダ,3,ひこう／ドラゴン,600族,なし,タツベイ・コモルー・ボーマンダ,外来生態レイヤーへ追加,殿堂入り後,521～523ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
192,374,ダンバル → メタング → メタグロス,3,はがね／エスパー,600族,ダンバル・メタング・メタグロス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
193,377,レジロック,3,いわ,伝説,なし,レジロック,固定イベント追加,殿堂入り＋点字石板3枚,ちえのどうくつ／こおりのしま／D・H炉心,固定シンボル／専用クエスト,―,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,野生通常表には入れない,P2
194,378,レジアイス,3,こおり,伝説,なし,レジアイス,固定イベント追加,殿堂入り＋点字石板3枚,ちえのどうくつ／こおりのしま／D・H炉心,固定シンボル／専用クエスト,―,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,野生通常表には入れない,P2
195,379,レジスチル,3,はがね,伝説,なし,レジスチル,固定イベント追加,殿堂入り＋点字石板3枚,ちえのどうくつ／こおりのしま／D・H炉心,固定シンボル／専用クエスト,―,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,野生通常表には入れない,P2
196,380,ラティアス,3,エスパー／ドラゴン,伝説,ラティアス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
197,381,ラティオス,3,エスパー／ドラゴン,伝説,ラティオス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
198,382,カイオーガ,3,みず,伝説,なし,カイオーガ,固定イベント追加,殿堂入り＋各島の環境調査,こおりのしま沖／ひのしま深部／スフィアいせき上層,固定シンボル／専用クエスト,―,天候を正常化する短いダンジョン後に固定戦。,野生通常表には入れない,P2
199,383,グラードン,3,じめん,伝説,なし,グラードン,固定イベント追加,殿堂入り＋各島の環境調査,こおりのしま沖／ひのしま深部／スフィアいせき上層,固定シンボル／専用クエスト,―,天候を正常化する短いダンジョン後に固定戦。,野生通常表には入れない,P2
200,384,レックウザ,3,ひこう／ドラゴン,伝説,なし,レックウザ,固定イベント追加,殿堂入り＋各島の環境調査,こおりのしま沖／ひのしま深部／スフィアいせき上層,固定シンボル／専用クエスト,―,天候を正常化する短いダンジョン後に固定戦。,野生通常表には入れない,P2
201,385,ジラーチ,3,はがね／エスパー,幻,なし,ジラーチ,固定イベント追加,殿堂入り＋ほしのかけら7個,ニューアイランド天文台,固定シンボル／専用クエスト,―,夜空観測イベント。RTCなしでも観測装置で夜に固定可能。,野生通常表には入れない,P2
202,386,デオキシス,3,エスパー,幻,なし,デオキシス,固定イベント追加,殿堂入り＋いんせき入手,D・H異常生態区画,固定シンボル／専用クエスト,―,培養槽停止後に固定戦。フォルムは隕石端末で変更。,野生通常表には入れない,P2
203,387,ナエトル → ハヤシガメ → ドダイトス,4,じめん／くさ,御三家,なし,ナエトル・ハヤシガメ・ドダイトス,地方研究タマゴ追加,殿堂入り＋全国研究開始,ハクジタウン研究所,地方研究依頼の報酬タマゴ,―,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,通常野生表には入れない,P2
204,390,ヒコザル → モウカザル → ゴウカザル,4,かくとう／ほのお,御三家,なし,ヒコザル・モウカザル・ゴウカザル,地方研究タマゴ追加,殿堂入り＋全国研究開始,ハクジタウン研究所,地方研究依頼の報酬タマゴ,―,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,通常野生表には入れない,P2
205,393,ポッチャマ → ポッタイシ → エンペルト,4,はがね／みず,御三家,なし,ポッチャマ・ポッタイシ・エンペルト,地方研究タマゴ追加,殿堂入り＋全国研究開始,ハクジタウン研究所,地方研究依頼の報酬タマゴ,―,各世代の生態サンプルを3件提出。選択式にせず、依頼再受注で全系統入手可能。,通常野生表には入れない,P2
206,396,ムックル → ムクバード → ムクホーク,4,ノーマル／ひこう,通常生態,なし,ムックル・ムクバード・ムクホーク,外来生態レイヤーへ追加,殿堂入り後,502ばんどうろ,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
207,399,ビッパ → ビーダル,4,ノーマル／みず,通常生態,なし,ビッパ・ビーダル,外来生態レイヤーへ追加,殿堂入り後,こおりのしま,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
208,401,コロボーシ → コロトック,4,むし,通常生態,なし,コロボーシ・コロトック,外来生態レイヤーへ追加,殿堂入り後,ハクジのもり,ずつき,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
209,403,コリンク → ルクシオ → レントラー,4,でんき,通常生態,なし,コリンク・ルクシオ・レントラー,外来生態レイヤーへ追加,バッジ5～6個,510～513ばんどうろ,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P1
