vega_dex_no,vega_name,kind,national_species_id,integration_policy,symbolic_internal_id,actual_internal_id,national_dex_link
208,モドラ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_208,ROM抽出で確定,
209,コモラゴン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_209,ROM抽出で確定,
210,テッポウオ,公式ポケモン,223.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_210,ROM抽出で確定,223.0
211,オクタン,公式ポケモン,224.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_211,ROM抽出で確定,224.0
212,メノクラゲ,公式ポケモン,72.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_212,ROM抽出で確定,72.0
213,ドククラゲ,公式ポケモン,73.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_213,ROM抽出で確定,73.0
214,ヤミクラゲ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_214,ROM抽出で確定,
215,コイナリ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_215,ROM抽出で確定,
216,オオイナリ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_216,ROM抽出で確定,
217,キャンペル,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_217,ROM抽出で確定,
218,ホムロソク,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_218,ROM抽出で確定,
219,ガレキダマ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_219,ROM抽出で確定,
220,ジバクン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_220,ROM抽出で確定,
221,ワラコゾウ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_221,ROM抽出で確定,
222,ワラガシラ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_222,ROM抽出で確定,
223,ビリリダマ,公式ポケモン,100.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_223,ROM抽出で確定,100.0
224,マルマイン,公式ポケモン,101.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_224,ROM抽出で確定,101.0
225,ドルマイン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_225,ROM抽出で確定,
226,ヤミカラス,公式ポケモン,198.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_226,ROM抽出で確定,198.0
227,ドンカラス,公式ポケモン,430.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_227,ROM抽出で確定,430.0
228,ゴニョニョ,公式ポケモン,293.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_228,ROM抽出で確定,293.0
229,ドゴーム,公式ポケモン,294.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_229,ROM抽出で確定,294.0
230,バクオング,公式ポケモン,295.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_230,ROM抽出で確定,295.0
231,クラブ,公式ポケモン,98.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_231,ROM抽出で確定,98.0
232,キングラー,公式ポケモン,99.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_232,ROM抽出で確定,99.0
233,プカスカ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_233,ROM抽出で確定,
234,スモーガス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_234,ROM抽出で確定,
235,ココロン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_235,ROM抽出で確定,
236,カモドック,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_236,ROM抽出で確定,
237,トノッパー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_237,ROM抽出で確定,
238,ガルラーダ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_238,ROM抽出で確定,
239,ハサーガ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_239,ROM抽出で確定,
240,アメクジ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_240,ROM抽出で確定,
241,アメリシア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_241,ROM抽出で確定,
242,カララン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_242,ROM抽出で確定,
243,カンカーン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_243,ROM抽出で確定,
244,クラウン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_244,ROM抽出で確定,
245,テイルーン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_245,ROM抽出で確定,
246,モグルトン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_246,ROM抽出で確定,
247,ニューラ,公式ポケモン,215.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_247,ROM抽出で確定,215.0
248,マニューラ,公式ポケモン,461.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_248,ROM抽出で確定,461.0
249,キノココ,公式ポケモン,285.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_249,ROM抽出で確定,285.0
250,キノガッサ,公式ポケモン,286.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_250,ROM抽出で確定,286.0
251,ラクチャン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_251,ROM抽出で確定,
252,ドゴン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_252,ROM抽出で確定,
253,ヤミラミ,公式ポケモン,302.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_253,ROM抽出で確定,302.0
254,トコヤミ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_254,ROM抽出で確定,
255,クチート,公式ポケモン,303.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_255,ROM抽出で確定,303.0
256,クチールス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_256,ROM抽出で確定,
257,ストライク,公式ポケモン,123.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_257,ROM抽出で確定,123.0
258,ハッサム,公式ポケモン,212.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_258,ROM抽出で確定,212.0
259,カイロス,公式ポケモン,127.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_259,ROM抽出で確定,127.0
260,ガッツロス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_260,ROM抽出で確定,
261,アーボ,公式ポケモン,23.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_261,ROM抽出で確定,23.0
262,アーボック,公式ポケモン,24.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_262,ROM抽出で確定,24.0
263,アーボスク,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_263,ROM抽出で確定,
264,ドガース,公式ポケモン,109.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_264,ROM抽出で確定,109.0
265,マタドガス,公式ポケモン,110.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_265,ROM抽出で確定,110.0
266,モアドガス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_266,ROM抽出で確定,
267,ヨマワル,公式ポケモン,355.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_267,ROM抽出で確定,355.0
268,サマヨール,公式ポケモン,356.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_268,ROM抽出で確定,356.0
269,ヨノワール,公式ポケモン,477.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_269,ROM抽出で確定,477.0
270,ベロリンガ,公式ポケモン,108.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_270,ROM抽出で確定,108.0
271,ベロベルト,公式ポケモン,463.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_271,ROM抽出で確定,463.0
272,イトマル,公式ポケモン,167.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_272,ROM抽出で確定,167.0
273,アリアドス,公式ポケモン,168.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_273,ROM抽出で確定,168.0
274,バチュル,公式ポケモン,595.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_274,ROM抽出で確定,595.0
275,デンチュラ,公式ポケモン,596.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_275,ROM抽出で確定,596.0
276,マグッピ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_276,ROM抽出で確定,
277,ベタデーム,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_277,ROM抽出で確定,
278,ジーランス,公式ポケモン,369.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_278,ROM抽出で確定,369.0
279,ダンカンス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_279,ROM抽出で確定,
280,ヤマネツ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_280,ROM抽出で確定,
281,ヒササビ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_281,ROM抽出で確定,
282,シャーモン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_282,ROM抽出で確定,
283,ドサーモン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_283,ROM抽出で確定,
284,テッケン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_284,ROM抽出で確定,
285,テッコンボ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_285,ROM抽出で確定,
286,ボンバット,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_286,ROM抽出で確定,
287,ピンプク,公式ポケモン,440.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_287,ROM抽出で確定,440.0
288,ラッキー,公式ポケモン,113.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_288,ROM抽出で確定,113.0
289,ハピナス,公式ポケモン,242.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_289,ROM抽出で確定,242.0
290,ツチニン,公式ポケモン,290.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_290,ROM抽出で確定,290.0
291,テッカニン,公式ポケモン,291.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_291,ROM抽出で確定,291.0
292,ヌケニン,公式ポケモン,292.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_292,ROM抽出で確定,292.0
293,サンド,公式ポケモン,27.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_293,ROM抽出で確定,27.0
294,サンドパン,公式ポケモン,28.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_294,ROM抽出で確定,28.0
295,サンドリル,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_295,ROM抽出で確定,
296,ビビッドン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_296,ROM抽出で確定,
297,ドルン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_297,ROM抽出で確定,
298,オールガ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_298,ROM抽出で確定,
299,ヒョウカク,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_299,ROM抽出で確定,
300,ラルトス,公式ポケモン,280.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_300,ROM抽出で確定,280.0
301,キルリア,公式ポケモン,281.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_301,ROM抽出で確定,281.0
302,サーナイト,公式ポケモン,282.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_302,ROM抽出で確定,282.0
303,エルレイド,公式ポケモン,475.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_303,ROM抽出で確定,475.0
304,キルギシア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_304,ROM抽出で確定,
305,シルドール,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_305,ROM抽出で確定,
306,セルシィ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_306,ROM抽出で確定,
307,セルディー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_307,ROM抽出で確定,
308,コゴボー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_308,ROM抽出で確定,
309,バーネッコ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_309,ROM抽出で確定,
310,コケゾー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_310,ROM抽出で確定,
311,ヒカリゴケ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_311,ROM抽出で確定,
312,フリージオ,公式ポケモン,615.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_312,ROM抽出で確定,615.0
313,ワークロ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_313,ROM抽出で確定,
314,アリンセス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_314,ROM抽出で確定,
315,イシツブテ,公式ポケモン,74.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_315,ROM抽出で確定,74.0
316,ゴローン,公式ポケモン,75.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_316,ROM抽出で確定,75.0
317,ゴローニャ,公式ポケモン,76.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_317,ROM抽出で確定,76.0
318,スコルピ,公式ポケモン,451.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_318,ROM抽出で確定,451.0
319,ドラピオン,公式ポケモン,452.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_319,ROM抽出で確定,452.0
320,カゲボウズ,公式ポケモン,353.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_320,ROM抽出で確定,353.0
321,ジュペッタ,公式ポケモン,354.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_321,ROM抽出で確定,354.0
322,オンネット,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_322,ROM抽出で確定,
323,ウリムー,公式ポケモン,220.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_323,ROM抽出で確定,220.0
324,イノムー,公式ポケモン,221.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_324,ROM抽出で確定,221.0
325,マンムー,公式ポケモン,473.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_325,ROM抽出で確定,473.0
326,マッギョ,公式ポケモン,618.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_326,ROM抽出で確定,618.0
327,パッチール,公式ポケモン,327.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_327,ROM抽出で確定,327.0
328,マスキッパ,公式ポケモン,455.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_328,ROM抽出で確定,455.0
329,アルデッパ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_329,ROM抽出で確定,
330,ゴキブロス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_330,ROM抽出で確定,
331,カミギリー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_331,ROM抽出で確定,
332,レファン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_332,ROM抽出で確定,
333,ガネーシャ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_333,ROM抽出で確定,
334,ギアル,公式ポケモン,599.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_334,ROM抽出で確定,599.0
335,ギギアル,公式ポケモン,600.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_335,ROM抽出で確定,600.0
336,ギギギアル,公式ポケモン,601.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_336,ROM抽出で確定,601.0
337,ラブカス,公式ポケモン,370.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_337,ROM抽出で確定,370.0
338,ラブリン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_338,ROM抽出で確定,
339,プレシオン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_339,ROM抽出で確定,
340,ラプラス,公式ポケモン,131.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_340,ROM抽出で確定,131.0
341,メルリコ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_341,ROM抽出で確定,
342,サムラダケ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_342,ROM抽出で確定,
343,サボネア,公式ポケモン,331.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_343,ROM抽出で確定,331.0
344,ノクタス,公式ポケモン,332.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_344,ROM抽出で確定,332.0
345,ティオルス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_345,ROM抽出で確定,
346,プテリクス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_346,ROM抽出で確定,
347,ティラノス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_347,ROM抽出で確定,
348,ブレイバー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_348,ROM抽出で確定,
349,ブレイドン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_349,ROM抽出で確定,
350,ブレイオー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_350,ROM抽出で確定,
351,テルテン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_351,ROM抽出で確定,
352,イシズマイ,公式ポケモン,557.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_352,ROM抽出で確定,557.0
353,イワパレス,公式ポケモン,558.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_353,ROM抽出で確定,558.0
354,テッシード,公式ポケモン,597.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_354,ROM抽出で確定,597.0
355,ナットレイ,公式ポケモン,598.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_355,ROM抽出で確定,598.0
356,シビシラス,公式ポケモン,602.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_356,ROM抽出で確定,602.0
357,シビビール,公式ポケモン,603.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_357,ROM抽出で確定,603.0
358,シビルドン,公式ポケモン,604.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_358,ROM抽出で確定,604.0
359,デリバード,公式ポケモン,225.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_359,ROM抽出で確定,225.0
360,プレゼンタ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_360,ROM抽出で確定,
361,コータス,公式ポケモン,324.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_361,ROM抽出で確定,324.0
362,ストータス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_362,ROM抽出で確定,
363,ノコッチ,公式ポケモン,206.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_363,ROM抽出で確定,206.0
364,ノコウテイ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_364,ROM抽出で確定,
365,カモネギ,公式ポケモン,83.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_365,ROM抽出で確定,83.0
366,カモナイツ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_366,ROM抽出で確定,
367,ズルッグ,公式ポケモン,559.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_367,ROM抽出で確定,559.0
368,ズルズキン,公式ポケモン,560.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_368,ROM抽出で確定,560.0
369,チュリネ,公式ポケモン,548.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_369,ROM抽出で確定,548.0
370,ドレディア,公式ポケモン,549.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_370,ROM抽出で確定,549.0
371,コジョフー,公式ポケモン,619.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_371,ROM抽出で確定,619.0
372,コジョンド,公式ポケモン,620.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_372,ROM抽出で確定,620.0
373,メグロコ,公式ポケモン,551.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_373,ROM抽出で確定,551.0
374,ワルビル,公式ポケモン,552.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_374,ROM抽出で確定,552.0
375,ワルビアル,公式ポケモン,553.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_375,ROM抽出で確定,553.0
376,ロイツァー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_376,ROM抽出で確定,
377,ガタノア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_377,ROM抽出で確定,
378,テツカブリ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_378,ROM抽出で確定,
379,ヒードラン,公式ポケモン,485.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_379,ROM抽出で確定,485.0
380,ラティアス,公式ポケモン,380.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_380,ROM抽出で確定,380.0
381,ラティオス,公式ポケモン,381.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_381,ROM抽出で確定,381.0
382,フィオネ,公式ポケモン,489.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_382,ROM抽出で確定,489.0
383,マナフィ,公式ポケモン,490.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_383,ROM抽出で確定,490.0
384,オルディナ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_384,ROM抽出で確定,
385,オルマリア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_385,ROM抽出で確定,
386,アスフィア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_386,ROM抽出で確定,
